id,precioEstadia,Nombre,Fechapublicacion,descripcion,alojamientoid,operador,capacidad
38,418.51,Bruen Ferry and Koelpin,19/12/2013,Support,2079,2450,4
39,1487.06,Hills Group,18-12-15,Support,4846,583,12
40,1865.54,Stroman-Kirlin,15-09-13,Human Resources,1570,3176,13
41,1809.84,Kautzer LLC,19-12-14,Sales,5193,4474,4
42,3460.0,Konopelski Wintheiser and Upton,15/12/2016,Business Development,2776,2509,13
43,1302.1,Kautzer Hickle and Nicolas,11/03/2017,Legal,4368,2180,1
44,3788.4,Grady Konopelski and Kerluke,31/01/2016,Marketing,4765,2904,16
45,974.9,Carter-Hudson,08-02-15,Business Development,1129,2506,2
46,2168.27,Morar Walker and Walsh,23/08/2015,Engineering,5090,2320,7
47,2877.14,Kunze and Sons,11-01-15,Engineering,5393,1137,12
48,4945.52,Windler Klein and Schuster,30/01/2014,Research and Development,2994,547,11
49,1686.17,Bahringer Doyle and Abbott,25/05/2016,Research and Development,3848,2956,2
50,4205.93,Huels LLC,06-07-13,Engineering,51,4544,14
51,543.67,King Corwin and Runolfsdottir,31/07/2017,Legal,379,814,1
52,347.32,Kuhic-Kemmer,08-04-18,Sales,3528,1462,3
53,2819.16,Schmitt-Dach,17-05-14,Business Development,1494,4692,1
54,964.98,Yost Inc,21-06-14,Product Management,2602,2498,15
55,197.55,Quigley-Wilkinson,14-05-17,Human Resources,5602,3769,6
56,1409.43,Hermann Group,23-12-15,Accounting,4977,2773,3
57,961.9,Monahan West and Herman,05/03/2016,Services,792,4635,3
58,3612.33,Runolfsson Osinski and Dickens,08/04/2014,Business Development,5371,2944,14
59,3779.71,Schaefer-D'Amore,03-11-17,Research and Development,563,3531,8
60,2445.47,Sporer-Runolfsdottir,15-07-14,Business Development,5289,4204,10
61,1114.59,Jenkins-Mante,31-03-14,Product Management,724,1631,5
62,2696.47,Wilderman Tromp and Grimes,19/06/2013,Services,4588,1508,16
63,2217.11,Jerde Hudson and King,05/08/2017,Support,5757,3452,1
64,216.61,Lockman-Botsford,16-07-15,Legal,5697,4474,11
65,2385.51,Waelchi LLC,06-10-13,Research and Development,200,2464,16
66,1798.37,Prohaska-Labadie,22-03-17,Legal,798,232,2
67,1034.85,Gulgowski-Kihn,09-01-15,Sales,725,2750,11
68,1391.08,Grant-Swaniawski,13-04-18,Product Management,3140,3759,14
69,739.43,Homenick-Lehner,03-11-16,Business Development,1646,1391,6
70,1483.89,Cassin-Barton,19-08-16,Accounting,2634,1392,13
71,1711.59,Corkery Group,14-08-14,Support,5355,2839,16
72,2003.0,Kuhic Crist and Littel,07/07/2015,Training,1292,2927,3
73,3320.99,Dach and Sons,29-06-17,Services,4312,1301,9
74,154.46,Pagac Yundt and Nikolaus,22/08/2016,Training,1229,2867,1
75,2815.31,Gleason-Larkin,11-04-14,Training,5572,2680,15
76,2723.8,Prohaska Group,26-07-13,Product Management,5539,4853,16
77,1052.09,Wisoky-Hamill,01-08-15,Accounting,482,1714,14
78,2909.47,Sipes LLC,22-10-16,Business Development,408,2651,8
79,3475.64,Grimes-Keebler,03-11-17,Services,2181,178,10
80,3862.75,Mayert-Ankunding,29-04-16,Legal,1811,3326,15
81,3593.79,Cremin Dietrich and Little,11/06/2016,Legal,4589,3721,9
82,2702.51,Schoen Group,16-12-14,Sales,629,135,6
83,1583.07,Batz and Sons,17-05-15,Business Development,5963,3845,13
84,4176.87,King Group,29-07-13,Engineering,4537,1455,2
85,2943.56,Swift Inc,11-09-17,Accounting,1800,3940,2
86,2748.25,Boehm-McKenzie,10-01-17,Support,2692,379,12
87,3279.38,Hoeger Jast and Botsford,09/07/2013,Human Resources,1635,2245,16
88,4656.7,Kris and Sons,16-07-16,Human Resources,2454,1729,5
89,1660.79,Nolan Auer and Carter,01/05/2016,Human Resources,3246,4018,15
90,3663.79,Runolfsson Inc,05-10-14,Training,5369,2340,9
91,3410.74,Wisoky and Sons,07-11-16,Accounting,2166,4918,4
92,1607.42,Wuckert Group,18-04-15,Legal,1899,63,9
93,1549.47,Funk Sporer and Graham,19/03/2017,Business Development,5917,2962,10
94,4424.2,Bernhard Inc,12-02-15,Sales,2323,1803,6
95,4278.07,Gutkowski Wolf and Volkman,04/08/2013,Business Development,2018,3242,15
96,1555.62,Lindgren and Sons,30-01-15,Business Development,5566,1201,13
97,2941.5,Sauer and Sons,11-05-18,Marketing,1232,2951,5
98,4259.99,Mertz-Schowalter,20-09-15,Legal,5043,2898,13
99,4120.48,Mertz Inc,12-01-18,Business Development,1128,965,8
100,232.07,Mueller and Sons,09-04-17,Marketing,1286,1449,4
101,751.33,Jacobi-Stanton,04-07-15,Legal,2917,972,9
102,64.67,Rolfson LLC,09-01-15,Business Development,2104,3990,8
103,1661.58,Leffler Group,21-11-17,Accounting,646,3857,7
104,78.63,McDermott Inc,07-07-14,Research and Development,147,961,15
105,2123.62,Johnson Hane and Yost,28/06/2013,Training,2975,3866,15
106,2709.52,Crooks Auer and Will,25/01/2018,Sales,1938,814,15
107,1448.73,VonRueden Wiegand and Littel,14/12/2015,Engineering,1339,3297,4
108,661.01,Effertz and Sons,14-08-16,Sales,661,2115,11
109,1162.29,Kassulke LLC,12-03-16,Marketing,2057,686,3
110,536.6,Cole Frami and Ankunding,18/04/2015,Marketing,2759,3261,11
111,63.94,Labadie Group,15-05-16,Business Development,1101,30,6
112,1834.37,Leuschke Turcotte and Hegmann,18/07/2013,Support,5930,3506,10
113,1225.94,Schaefer Leffler and DuBuque,25/12/2015,Legal,5323,584,10
114,4915.59,Runolfsdottir-Abbott,13-08-14,Research and Development,541,939,15
115,4301.23,Thompson Deckow and Mann,19/12/2014,Support,1944,309,8
116,389.88,Stoltenberg Group,09-03-16,Accounting,3139,521,13
117,1073.87,Emmerich-Morar,15-10-16,Legal,2458,2645,1
118,867.25,Little and Sons,19-04-16,Support,3579,239,16
119,2096.78,Schuppe Grimes and Gibson,27/11/2013,Marketing,2479,2674,11
120,4286.67,Satterfield Lind and Schumm,18/02/2016,Marketing,3775,4137,12
121,4443.84,Dibbert-Crooks,18-09-15,Training,4352,426,10
122,1023.68,Gutmann and Sons,27-11-13,Research and Development,390,1413,15
123,181.38,Hayes-Simonis,21-02-18,Training,1258,450,3
124,1003.56,Schroeder-Rempel,29-12-13,Legal,5588,4182,10
125,4888.1,Rogahn LLC,15-05-18,Human Resources,4621,3160,14
126,2772.85,Klein Group,29-06-14,Legal,339,414,2
127,3844.21,Bednar-Dickens,23-10-14,Support,1064,2723,4
128,1627.89,Terry Upton and Bogisich,29/11/2016,Research and Development,3902,1354,7
129,4464.1,Welch Schoen and Reilly,08/10/2016,Business Development,4376,1209,11
130,1947.84,Padberg-Mayer,22-05-15,Marketing,890,797,7
131,175.65,Kiehn-Hirthe,02-02-16,Business Development,2713,4400,13
132,3620.84,Raynor Lakin and Daugherty,03/07/2015,Accounting,1683,4949,11
133,1060.76,Marks Kuhn and Ebert,15/12/2015,Research and Development,2159,2670,1
134,740.79,DuBuque Ledner and Wyman,26/03/2014,Product Management,837,3105,14
135,4566.98,Wiza LLC,29-02-16,Accounting,1628,522,3
136,2459.65,Monahan-Hilll,28-03-16,Human Resources,1664,205,8
137,228.96,Rice-Kozey,09-06-16,Human Resources,1510,3143,2
138,1508.26,Corkery and Sons,06-08-15,Human Resources,4776,2441,5
139,4522.86,Ferry Baumbach and Von,27/09/2014,Product Management,5313,1076,13
140,2251.84,Mohr LLC,21-07-15,Research and Development,3193,3839,11
141,4968.67,Funk Kuhlman and Nikolaus,26/02/2014,Marketing,2525,303,4
142,3744.28,Connelly-Rosenbaum,14-04-14,Support,4314,4060,12
143,1238.47,Huel LLC,21-02-15,Legal,5268,1836,15
144,2095.19,Wunsch Crooks and Schaefer,18/06/2015,Support,4209,1838,8
145,147.13,Labadie-Schulist,13-08-15,Legal,2922,3318,2
146,1753.33,Runolfsson Buckridge and Lynch,05/03/2016,Training,671,1017,3
147,1356.81,Konopelski Wunsch and Hartmann,28/04/2018,Services,4263,3870,9
148,2812.76,Smith Group,09-12-15,Human Resources,3276,2506,2
149,526.9,Nikolaus Cronin and Heller,14/01/2018,Marketing,361,4636,2
150,4366.9,Feeney LLC,31-12-15,Sales,288,3778,1
151,902.91,Emard-Spinka,28-07-17,Marketing,5605,1739,14
152,3085.16,Gleason and Sons,30-08-17,Accounting,765,162,6
153,3794.25,Thiel-Bayer,07-08-14,Marketing,5974,290,13
154,799.68,Kemmer Kunze and Labadie,27/12/2014,Services,4589,2055,2
155,4742.03,Collins Doyle and Strosin,25/06/2013,Sales,4181,4279,1
156,2790.54,Stark-Lubowitz,19-09-17,Engineering,5223,761,7
157,188.36,Stamm Kunze and Moen,28/09/2015,Support,5632,3699,11
158,1938.65,Willms Group,20-11-15,Business Development,5208,4367,4
159,2083.38,Renner Group,25-11-15,Research and Development,5601,4564,14
160,2947.48,Jacobi-Kilback,25-09-13,Business Development,1369,3642,8
161,4811.05,Rutherford-Turcotte,18-11-15,Marketing,1520,3095,2
162,814.6,Hermann Group,19-11-17,Services,4509,1348,16
163,1381,Kemmer Group,07-05-15,Human Resources,5469,789,7
164,33.79,Dach Bruen and Ebert,30/07/2014,Support,381,1385,10
165,3198.33,Harris LLC,24-03-16,Product Management,3927,1215,9
166,1147.53,Corkery Inc,30-08-15,Engineering,2129,2622,11
167,1953.04,Kuhlman Inc,14-06-13,Engineering,4902,4795,12
168,4071.65,Rippin Kling and Rodriguez,15/08/2013,Services,5717,1870,15
169,1748.55,Parker-Hand,27-09-14,Accounting,2054,3719,4
170,3370.63,Welch-Kling,17-11-16,Research and Development,387,1230,16
171,51.32,Kirlin-Considine,19-04-15,Marketing,2566,3462,1
172,2072.58,Kshlerin LLC,05-01-18,Research and Development,2025,666,7
173,2911.5,Dibbert LLC,24-09-16,Engineering,5260,461,3
174,2068.18,Hodkiewicz Moore and Thompson,27/01/2015,Human Resources,3205,4310,9
175,1990.87,Witting Inc,30-09-15,Marketing,4651,2884,15
176,4754.37,Welch LLC,28-05-13,Engineering,1497,2859,14
177,1771.25,Schaden-Donnelly,18-11-14,Legal,5865,2526,10
178,1377.56,Beatty Group,16-07-15,Training,577,95,14
179,4207.27,Hand-Oberbrunner,09-05-15,Marketing,1976,3156,10
180,1436.9,Hodkiewicz Walsh and O'Conner,01/10/2014,Services,3354,3788,8
181,2270.49,Mayert Purdy and Dickinson,20/08/2013,Support,4806,4427,14
182,1943.71,Schaefer-Nitzsche,13-10-17,Marketing,3556,3941,5
183,4525.13,Ruecker D'Amore and Morar,05/02/2017,Business Development,362,2149,16
184,3475.59,Cummings LLC,03-07-15,Legal,5057,3428,8
185,3435.8,Wilderman Group,21-12-13,Human Resources,5434,3431,9
186,3773.93,Leffler Inc,21-04-17,Accounting,3395,598,4
187,4697.15,Breitenberg Bahringer and Fahey,06/02/2017,Research and Development,4051,2412,13
188,4803.48,Wolff-Glover,24-04-15,Research and Development,3550,1109,8
189,2637.03,Torp-Rohan,02-07-16,Sales,956,4928,2
190,49.81,Hills Jast and Rutherford,05/05/2014,Sales,2080,390,16
191,807.89,Kertzmann Inc,12-03-14,Accounting,4573,882,11
192,999.47,Jerde and Sons,08-09-17,Engineering,4305,3823,6
193,2706.57,Blick LLC,31-05-14,Business Development,866,3681,9
194,3253.47,Yost-Little,03-05-18,Business Development,2437,540,1
195,4552.41,O'Conner Grady and Weimann,27/04/2015,Human Resources,139,4659,6
196,1726.08,Predovic Inc,19-05-13,Legal,1516,364,15
197,159.88,Abbott-Parker,24-05-14,Product Management,5988,1991,5
198,3506.08,Schultz-Jacobs,18-05-15,Research and Development,4404,738,15
199,1620.09,Moore-Bernier,19-02-14,Business Development,5519,2979,6
200,989.57,Kovacek-Runolfsson,02-07-15,Training,835,1707,8
201,25.6,Huel Stark and Rodriguez,05/04/2017,Human Resources,5631,3206,1
202,2024.67,Spinka-Miller,23-02-18,Accounting,1833,139,2
203,1045.23,Terry-Rath,01-09-14,Services,974,1622,2
204,2508.31,Torphy-Shanahan,02-10-13,Human Resources,4770,1569,1
205,4636.93,Hyatt-Conroy,19-04-18,Product Management,2087,2256,7
206,1466.05,Dach-Mitchell,29-03-17,Research and Development,2684,4709,3
207,1542.93,Sporer Wisoky and Huels,17/11/2013,Research and Development,1996,4185,15
208,3721.06,Little Dach and McDermott,11/01/2016,Sales,4791,1164,5
209,3899.58,Leannon LLC,10-11-15,Human Resources,4266,3652,7
210,1819.15,Welch and Sons,23-09-16,Business Development,5157,4757,1
211,1656.95,Deckow-Schneider,08-02-14,Marketing,1301,582,9
212,1832.62,Waelchi Bernier and Towne,20/05/2014,Services,1917,1154,8
213,316.37,Berge LLC,26-02-15,Sales,2368,376,9
214,289.73,Weimann and Sons,23-09-14,Engineering,542,877,13
215,2472.25,Hickle Stiedemann and Jerde,18/07/2014,Marketing,3103,2656,6
216,3556.9,Gulgowski Dietrich and Lang,10/02/2014,Accounting,118,2398,15
217,757.11,Botsford Larson and Kunde,23/02/2016,Support,3233,327,8
218,1875.13,Renner-Runolfsdottir,09-08-15,Business Development,1669,1609,15
219,4149.5,Dare and Sons,23-07-16,Engineering,3298,787,9
220,3179.15,Hettinger Miller and Trantow,26/02/2014,Human Resources,5805,4513,2
221,4418.85,Pfannerstill-Howell,31-07-13,Research and Development,2300,2518,3
222,1389.07,Denesik LLC,23-09-17,Product Management,941,2761,8
223,925.43,Gulgowski Mante and White,04/05/2016,Support,4284,4944,12
224,520.15,Walker Group,03-05-18,Support,2354,3547,15
225,2765.82,Marvin LLC,21-09-14,Training,3826,3347,16
226,570.99,Corwin LLC,26-05-15,Training,1723,3033,4
227,3661.87,Littel Kris and Borer,25/12/2015,Support,5956,3013,2
228,1113.51,Fritsch-Corwin,17-01-17,Marketing,5174,2780,12
229,3275.29,Gusikowski-Glover,28-05-16,Research and Development,5886,3898,11
230,1361.11,Witting-Harber,25-02-17,Training,1907,1896,1
231,160.78,Medhurst and Sons,26-04-14,Accounting,5261,1512,9
232,4583,D'Amore-Weimann,05-02-15,Research and Development,3075,1497,16
233,3805.94,Crooks and Sons,18-08-14,Business Development,732,737,10
234,1601.93,Hodkiewicz Group,07-02-17,Engineering,3321,563,14
235,3816.22,Heaney LLC,26-11-17,Business Development,4770,727,12
236,1754.96,D'Amore-Casper,05-03-18,Product Management,818,4172,4
237,1129.52,Hilll LLC,29-11-17,Product Management,7,4790,4
238,1468.21,Roob Pfannerstill and Dare,15/10/2013,Legal,3066,171,16
239,2735.15,O'Conner-Hamill,17-07-14,Product Management,759,4596,6
240,35.05,Kuphal-Volkman,29-12-17,Support,4976,2374,2
241,3871.4,Armstrong Abshire and Jacobi,03/06/2013,Research and Development,1497,1222,3
242,4677.51,Feil-Kuhic,01-11-16,Human Resources,2182,4391,10
243,2533.4,Davis-Halvorson,07-04-14,Research and Development,998,404,6
244,1943.41,Raynor Hegmann and Dibbert,08/05/2015,Sales,1486,3184,9
245,2335.65,Schamberger-Crona,07-04-15,Training,737,3058,2
246,2802.45,Hyatt and Sons,15-11-16,Services,5065,3476,6
247,3500.89,Wiegand Huels and Pouros,09/01/2016,Engineering,4556,2447,16
248,3584.1,Bergstrom-Wiegand,28-12-13,Product Management,2862,3832,9
249,3620.66,Streich Group,16-09-17,Legal,1915,4542,6
250,309.63,McGlynn-Simonis,28-02-17,Training,2830,2216,11
251,1385.5,Mills Keebler and Blick,03/04/2017,Human Resources,5064,4568,12
252,4598.38,Larkin Kirlin and Jakubowski,06/03/2018,Legal,1281,1219,8
253,283.35,Volkman Heller and Hirthe,02/05/2014,Training,734,2101,13
254,4863.82,Prohaska Moore and Hane,04/07/2013,Product Management,5228,616,10
255,972.22,O'Connell and Sons,25-08-17,Product Management,2729,3083,12
256,909.78,Bechtelar-Paucek,11-08-13,Accounting,5830,4710,8
257,1346.24,Renner-Bernier,21-03-18,Research and Development,3295,503,5
258,3047.65,Schamberger LLC,22-02-15,Engineering,1159,1538,5
259,1781.12,Hyatt-Reynolds,22-03-15,Training,5210,1123,13
260,1086.5,Parker and Sons,05-10-16,Business Development,4495,4176,14
261,956.1,Carter Little and Goldner,28/12/2017,Marketing,3793,4799,5
262,1567.28,Reynolds-Roberts,13-02-18,Sales,2349,3081,11
263,4225.04,Strosin Beier and Anderson,27/04/2017,Human Resources,1914,1682,16
264,2830.76,Herzog Adams and Lubowitz,17/04/2016,Engineering,790,4681,10
265,4748.57,Steuber-Lueilwitz,23-11-17,Services,1569,781,15
266,4120.71,Turcotte Parker and Stark,23/10/2014,Engineering,5331,4223,11
267,1033.87,Rosenbaum Lesch and Lemke,06/01/2015,Sales,1809,4723,4
268,3035.64,Purdy and Sons,14-10-16,Human Resources,2463,3760,6
269,4329.84,Carter Inc,25-06-17,Engineering,5749,570,6
270,1735.5,Wilderman-Schaefer,28-02-16,Business Development,3349,1976,12
271,831.77,Dach Beatty and Schumm,18/03/2015,Business Development,5231,1573,16
272,3931.25,Kunde Hudson and Braun,20/10/2013,Sales,2333,937,1
273,4068.71,Rutherford LLC,24-06-16,Training,1237,1305,16
274,2921.44,Schmidt-Keeling,01-07-14,Services,4332,3220,5
275,3081.88,Collier Huels and O'Conner,26/03/2016,Services,2438,20,5
276,2768.88,Heller and Sons,03-06-17,Product Management,1476,3538,10
277,3676.23,Crist Group,06-06-17,Legal,795,2200,1
278,1724.3,Hahn-Monahan,24-12-16,Product Management,1569,1180,15
279,4441.65,Parker and Sons,26-03-18,Sales,1794,4104,11
280,91.74,Zemlak-McDermott,15-06-14,Engineering,5796,2586,9
281,3263.87,Weimann Group,14-07-17,Marketing,5160,4690,11
282,2286.78,Schumm Conroy and Grant,25/10/2017,Support,2357,632,11
283,4686.39,Bruen Prohaska and Runolfsdottir,15/06/2017,Human Resources,5649,2281,10
284,3363.0,Grady Strosin and Waters,13/05/2018,Services,3915,2061,5
285,4482.72,Mills Inc,04-05-16,Business Development,2501,1677,15
286,1308.14,Hansen-Reinger,14-07-16,Product Management,3023,1775,16
287,1621.54,Lueilwitz LLC,01-08-16,Services,5931,737,3
288,3583.16,Leuschke and Sons,14-10-17,Research and Development,464,2740,11
289,1977.31,Kling-Wolf,31-12-13,Support,2008,2528,15
290,1051.83,Thiel Inc,21-10-15,Product Management,3765,1833,4
291,2005.34,Fahey Feil and Marks,08/06/2015,Services,3647,4636,9
292,1006.16,Kovacek-Botsford,28-11-14,Marketing,4234,1050,12
293,3145.69,Prosacco-Hansen,08-03-16,Human Resources,2893,649,1
294,3790.89,Stracke Roberts and Reinger,09/02/2016,Engineering,2911,4234,2
295,2486.3,Wyman Group,15-11-17,Engineering,2118,602,3
296,1709.09,Leuschke Inc,11-02-17,Marketing,1248,4390,9
297,112.77,Pacocha Inc,30-09-14,Product Management,4453,2017,6
298,1263.62,Borer Group,29-05-14,Services,266,4893,7
299,1147.05,Rogahn-Torphy,26-07-17,Sales,3315,174,10
300,4871.76,Ratke Inc,09-06-14,Product Management,3046,232,8
301,1514.83,Conroy-Schuster,06-06-17,Research and Development,4071,876,15
302,1409.83,Macejkovic Carter and Sporer,07/11/2014,Training,3670,1654,15
303,2878.42,O'Connell-Kreiger,10-08-17,Human Resources,1809,396,1
304,2125.49,Crooks-Rohan,05-04-18,Research and Development,52,1026,13
305,712.24,Mraz-Jacobson,19-11-16,Marketing,1936,633,9
306,3536.28,D'Amore Braun and Hansen,13/10/2013,Engineering,559,1122,15
307,1216.9,Eichmann Ernser and Carter,30/05/2014,Training,12,2921,13
308,2800.17,Gleason Franecki and Thiel,19/09/2016,Marketing,2142,2574,13
309,2424.57,MacGyver and Sons,18-12-13,Research and Development,3950,267,13
310,4293.87,Mante Robel and Koch,14/03/2016,Human Resources,4538,1921,4
311,3226.91,Rau-Witting,16-07-17,Legal,4680,3404,11
312,3309.95,Ziemann-Kshlerin,11-05-17,Accounting,5032,3780,15
313,3182.56,Schumm Group,28-04-18,Sales,1610,2988,12
314,3507.3,Runte-Bechtelar,12-03-15,Human Resources,1167,4379,8
315,2811.15,Smith Inc,10-01-16,Services,1664,63,14
316,393.89,Lubowitz and Sons,17-06-16,Product Management,3106,4812,12
317,452.06,Padberg-O'Kon,26-11-17,Accounting,949,3384,13
318,2465.32,King and Sons,21-10-13,Accounting,1215,3607,1
319,4706.22,Hoeger Kuphal and Price,09/03/2016,Legal,1312,1043,3
320,763.69,O'Connell-Jast,14-04-18,Engineering,4922,1522,4
321,4144.62,Murazik-Beahan,28-11-17,Product Management,5894,4469,1
322,399.18,Renner-McClure,17-03-14,Human Resources,552,3714,6
323,425.2,Reichel and Sons,31-07-15,Sales,5046,1418,12
324,4885.92,Breitenberg Group,08-11-14,Engineering,696,157,3
325,370.77,O'Conner-Pollich,28-04-14,Product Management,773,1528,1
326,524.4,Schuster Inc,15-07-13,Marketing,2852,72,15
327,4281.62,Donnelly Lowe and Koss,04/08/2014,Sales,855,3520,15
328,753.76,Schowalter-Goyette,15-02-17,Business Development,4881,1995,2
329,471.8,Powlowski Inc,21-11-17,Services,2298,3056,16
330,1873.2,Emmerich-Price,13-06-14,Services,1845,2487,10
331,2342.44,Hessel Inc,06-07-13,Human Resources,2129,1594,6
332,495.74,Wiegand-Flatley,14-02-15,Support,1203,680,16
333,3092.71,Funk Boyle and Grimes,02/04/2015,Human Resources,2596,618,10
334,4981.36,Cartwright Bailey and Douglas,14/01/2018,Accounting,379,2838,5
335,1020.27,Dickens Kshlerin and Sanford,28/10/2017,Services,5773,4214,2
336,360.22,Treutel Inc,07-10-15,Services,4868,245,6
337,4616.92,Ernser and Sons,03-09-14,Sales,2279,1871,11
338,60.87,Metz-Paucek,22-11-13,Human Resources,5570,3745,9
339,3102.15,Reichel Bergnaum and Ruecker,01/08/2013,Marketing,3735,2880,8
340,1238.16,White-Boyle,11-02-18,Legal,1800,3989,16
341,1565.59,Shields Grady and Huel,20/08/2015,Marketing,1790,916,4
342,2039.79,Fadel Inc,21-03-18,Accounting,69,4863,12
343,3394.16,Rohan Rippin and Hettinger,07/02/2017,Human Resources,4625,3080,15
344,115.06,Gutkowski-Dach,12-05-17,Research and Development,4656,4848,6
345,4957.69,Quitzon-Rolfson,10-01-14,Accounting,1886,3963,7
346,666.31,Jones Klocko and Reynolds,11/07/2016,Services,2920,2086,11
347,801.19,Watsica-Klein,05-05-16,Training,1174,4847,2
348,3987.78,Johns Denesik and Beatty,16/07/2016,Support,4893,3873,10
349,230.31,Steuber-Bednar,24-02-16,Research and Development,2321,397,4
350,2183.19,Gusikowski and Sons,23-01-18,Business Development,3457,435,14
351,48.33,Renner Group,11-06-13,Sales,1312,2244,8
352,1406.06,Rowe Group,12-05-18,Support,4135,1099,9
353,1551.61,Harris Group,13-10-16,Support,2560,4751,1
354,2054.83,Cormier Borer and Willms,03/09/2014,Human Resources,215,1125,8
355,132.45,Sauer-D'Amore,06-02-15,Legal,4055,2184,3
356,3361.59,Willms Steuber and Bahringer,20/11/2013,Services,2428,4541,8
357,3543.45,Cormier Group,28-12-17,Training,1269,808,10
358,3059.1,Hermann LLC,08-01-17,Product Management,4603,470,9
359,984.29,Murray LLC,09-09-16,Support,5652,3070,14
360,3581.82,Gutmann Gerhold and Stiedemann,29/08/2016,Sales,3622,3572,5
361,1461.65,Carter Ritchie and Wisozk,23/10/2014,Legal,3924,4019,12
362,3901.17,Abernathy-Beer,16-10-17,Research and Development,3515,2752,7
363,1517.82,Collier LLC,03-01-15,Marketing,4582,4692,11
364,753.16,Koepp-Lowe,13-07-15,Business Development,4220,1940,11
365,4512.21,Klein LLC,23-02-16,Product Management,275,193,9
366,151.15,Will LLC,29-04-17,Services,1983,3932,16
367,990.38,Stamm-Luettgen,06-06-15,Human Resources,5945,4018,12
368,4487.26,Cummerata-Will,01-12-15,Marketing,2806,4523,7
369,1419.27,MacGyver Inc,19-12-13,Services,1468,2729,15
370,2572.54,Lehner-Hickle,14-12-17,Marketing,5299,892,12
371,4714.24,Konopelski-Schmidt,31-01-18,Training,1076,3854,6
372,4602.02,Predovic-Parker,27-08-15,Engineering,224,3258,9
373,1128.22,Bayer-Raynor,03-10-17,Sales,2890,3226,15
374,259.72,Huel Inc,13-08-15,Research and Development,5173,2961,14
375,2382.47,Walker Inc,27-03-15,Business Development,933,548,9
376,3074.64,Grimes Bauch and Lubowitz,08/07/2015,Accounting,5805,4371,3
377,1446.72,Emmerich Leannon and Nader,23/07/2015,Product Management,1839,3594,15
378,4989.98,Cruickshank Bartell and Krajcik,23/09/2016,Services,729,195,6
379,1061.12,Davis LLC,11-09-13,Engineering,5020,2283,5
380,3854.22,Effertz Gorczany and Donnelly,10/01/2015,Business Development,3590,2953,5
381,823.43,Ferry Schaden and Feeney,25/11/2013,Services,2891,1285,14
382,3320.11,Cole-Fritsch,27-10-14,Legal,821,1919,2
383,3725.49,Morissette-Borer,11-04-17,Support,468,2401,3
384,1901.66,Hessel LLC,30-01-16,Legal,1827,4779,6
385,3197.09,DuBuque Cummings and Prosacco,12/01/2018,Business Development,1481,415,1
386,288.34,Blanda McLaughlin and Wunsch,13/07/2015,Services,2655,3057,13
