id,Tipo,Nombre,Ubicacion,Descripcion,Costo,MinimoPeriodo
53,HabitacionUniversitaria,635,Bellgrove,Conroy and Sons,42.64,30
54,Vivienda,862,Moland,Davis Inc,731.57,60
55,HabitacionHotel,520,Dennis,Bahringer Group,593.75,1
56,HabitacionVivienda,8,American Ash,Casper-Hintz,602.36,30
57,Vivienda,847,Melby,Jacobson, Braun and Raynor,984.6,1
58,HabitacionHotel,207,Almo,Wolf, Dicki and Roob,220.69,1
59,HabitacionHostal,205,Cottonwood,O'Connell, Bogan and Fay,981.42,60
60,HabitacionHotel,363,3rd,Runolfsdottir-Yost,978.92,1
61,HabitacionHotel,326,Fallview,Kovacek Inc,522.33,1
62,Apartamento,594,Kennedy,Olson and Sons,68.3,60
63,HabitacionHostal,537,Transport,Goyette, Kilback and Nitzsche,398.33,30
64,HabitacionHostal,784,Welch,Flatley-Leannon,688.73,1
65,HabitacionHotel,941,Rowland,Mann and Sons,120.01,180
66,HabitacionVivienda,214,Elgar,Gleichner, Bartoletti and Adams,919.71,30
67,Vivienda,881,Melrose,Rolfson, Kuhic and Paucek,744.26,180
68,HabitacionUniversitaria,124,Lukken,Bednar-Williamson,697.56,1
69,HabitacionHotel,718,Scott,Strosin-Haley,832.85,1
70,HabitacionUniversitaria,516,Burning Wood,Morissette-Haley,958.32,30
71,HabitacionHostal,121,Spenser,Becker Group,159.1,60
72,HabitacionHostal,512,Mandrake,Kreiger, Moore and Gusikowski,859.44,60
73,HabitacionHotel,266,Dryden,Mann, Vandervort and Hickle,433.95,60
74,Vivienda,252,Calypso,Pouros Group,964.03,180
75,HabitacionHotel,494,Mallard,Medhurst Inc,596.39,30
76,HabitacionHostal,297,Crescent Oaks,Collier-Erdman,47.79,180
77,HabitacionVivienda,403,Delladonna,Watsica Group,806.98,60
78,Vivienda,87,Melby,Parisian-Towne,421.64,60
79,HabitacionVivienda,621,Hallows,Stokes, Schaden and Spencer,380.43,60
80,Vivienda,378,Farwell,Orn Group,969.76,60
81,HabitacionHotel,960,Walton,Ritchie, Rowe and Gorczany,682.51,1
82,Vivienda,823,Briar Crest,Wehner Group,569.42,60
83,HabitacionHotel,663,Dayton,Kuhn, Grant and Tremblay,134.08,30
84,HabitacionUniversitaria,347,Heffernan,Bashirian-Zboncak,337.84,30
85,HabitacionVivienda,539,Lillian,Grady-Baumbach,620.48,30
86,HabitacionUniversitaria,110,Norway Maple,Klein-Tillman,535.18,60
87,Vivienda,689,Barby,Macejkovic, Johnson and Kuphal,768.87,30
88,HabitacionHostal,112,Katie,Robel, Halvorson and Jacobi,484.24,60
89,Apartamento,123,Commercial,Deckow, Waters and Simonis,429.06,30
90,Apartamento,840,Straubel,Russel Inc,608.24,30
91,Apartamento,321,Columbus,Sawayn Group,237.85,30
92,HabitacionHostal,291,Summer Ridge,Kemmer, Morissette and Breitenberg,464.37,1
93,Vivienda,419,Mayer,Robel, Ward and Baumbach,273.46,60
94,HabitacionVivienda,846,Tennyson,Jacobs and Sons,164.42,60
95,HabitacionHotel,679,Fulton,Mohr-Weimann,9.83,30
96,HabitacionUniversitaria,47,Washington,Frami-Kozey,796.46,180
97,HabitacionUniversitaria,351,Springs,Terry-Wisoky,115.23,30
98,Apartamento,307,Crest Line,King Group,732.44,180
99,HabitacionHotel,377,Brown,Toy Inc,193.69,60
100,HabitacionVivienda,963,Lindbergh,Ruecker-Denesik,540.48,60
101,HabitacionUniversitaria,129,Sherman,Schuppe-Volkman,28.51,30
102,HabitacionHotel,335,Elka,Tremblay-Cassin,293.77,1
103,HabitacionHostal,291,Hagan,Swift, Reichel and Champlin,661.66,60
104,Vivienda,559,Sloan,Hudson, Johns and Denesik,257.63,30
105,HabitacionHostal,645,Kedzie,Price Inc,644.86,1
106,Apartamento,111,Scott,Kunze, Mitchell and Terry,171.28,180
107,HabitacionHostal,726,Judy,Kreiger, Kub and Stamm,408.01,1
108,Vivienda,468,Delaware,DuBuque LLC,593.72,1
109,Apartamento,238,Sullivan,McGlynn-Cole,504.18,60
110,HabitacionVivienda,534,David,Collins, Bergnaum and Nienow,540.91,30
111,HabitacionHotel,627,Milwaukee,Hermann-Smith,796.27,1
112,HabitacionUniversitaria,809,Pennsylvania,Nader-Langworth,809.29,30
113,HabitacionUniversitaria,258,Dovetail,Mertz Inc,178.25,30
114,Vivienda,697,Michigan,Cartwright and Sons,371.38,180
115,HabitacionHostal,531,Arapahoe,Koch, Wilderman and Konopelski,531.19,30
116,HabitacionHostal,665,Crest Line,Spinka-Keebler,922.22,60
117,HabitacionVivienda,954,Oakridge,Heidenreich and Sons,804.28,180
118,HabitacionUniversitaria,549,Kingsford,Nader LLC,421.59,180
119,HabitacionHostal,520,Tony,Bailey, Kautzer and Wintheiser,126.63,1
120,HabitacionVivienda,790,Utah,Bashirian-Tremblay,145.97,180
121,HabitacionVivienda,180,Stang,Schmitt-Dibbert,611.64,30
122,HabitacionHotel,345,Canary,Mante and Sons,12.49,1
123,HabitacionVivienda,919,Packers,Gutkowski and Sons,94.23,180
124,HabitacionHostal,459,Forest Run,Reynolds, Hessel and Gerhold,385.37,60
125,HabitacionHostal,49,Crest Line,Daniel Inc,199.18,60
126,HabitacionUniversitaria,931,Bay,Ankunding, Corkery and Stamm,162.52,30
127,HabitacionHotel,770,Messerschmidt,Fisher and Sons,962.59,60
128,HabitacionUniversitaria,941,Prairieview,Jast, Hegmann and Oberbrunner,213.78,180
129,HabitacionHotel,295,Dunning,Bailey Inc,614.1,30
130,Vivienda,781,Ridgeview,Hilll Inc,346.85,60
131,Vivienda,504,Sherman,Schuppe and Sons,951.44,180
132,HabitacionHostal,473,Cardinal,Beatty-Harvey,758.6,30
133,HabitacionUniversitaria,210,Loeprich,Sauer Group,329.67,1
134,HabitacionHostal,94,Kings,Mertz-Paucek,942.48,30
135,HabitacionVivienda,609,Forest Run,Zulauf and Sons,324.8,60
136,HabitacionHostal,838,Pleasure,Pagac Inc,68.72,1
137,HabitacionHostal,674,Surrey,Dietrich-Thompson,34.21,180
138,Apartamento,428,Havey,Schaden, Hahn and O'Connell,552.17,1
139,HabitacionHotel,634,Butternut,Sanford LLC,483.31,60
140,HabitacionHostal,560,Merchant,Bogan-Gaylord,743.52,1
141,HabitacionVivienda,335,Burrows,Rath Group,874.51,180
142,HabitacionHotel,134,Ronald Regan,Heidenreich and Sons,360.03,180
143,Apartamento,593,Basil,Dach-Okuneva,992.2,60
144,HabitacionUniversitaria,266,Gateway,Emmerich LLC,735.62,60
145,HabitacionHotel,630,Pennsylvania,Stark and Sons,66.55,180
146,HabitacionHotel,891,Derek,Kuphal, O'Hara and Monahan,715.96,60
147,HabitacionHotel,929,Carberry,Gibson, Moore and Herman,498.97,60
148,HabitacionHostal,313,Loftsgordon,Schiller, Dooley and Okuneva,995.99,60
149,Vivienda,708,Lukken,Thiel, Kreiger and McGlynn,734.55,60
150,HabitacionHostal,218,Twin Pines,Doyle and Sons,362.05,1
151,HabitacionHostal,791,Heffernan,Hane, Larson and Connelly,346.74,180
152,HabitacionHostal,177,Ludington,Thompson Group,481.79,30
153,Vivienda,627,Merry,Maggio-Runolfsson,428.4,60
154,HabitacionUniversitaria,848,Pawling,Ernser and Sons,125.69,30
155,HabitacionHostal,282,Cherokee,Bruen, Gleason and Schinner,170.67,30
156,Vivienda,792,Heath,Fisher-Hamill,468.39,180
157,Vivienda,577,Arapahoe,Effertz, Greenholt and Kshlerin,56.53,30
158,HabitacionHotel,163,Bluestem,Fritsch Group,692.32,30
159,HabitacionVivienda,271,Village,Champlin, Schneider and Kohler,708.74,30
160,HabitacionHostal,775,Dovetail,Zemlak Group,329.31,1
161,Apartamento,301,Melrose,Huels and Sons,374.91,60
162,Apartamento,212,Corry,Johns and Sons,683.31,30
163,HabitacionUniversitaria,305,Talisman,Luettgen Inc,415.98,30
164,HabitacionHostal,740,Pleasure,Boyer-Mraz,31.36,180
165,HabitacionUniversitaria,921,Lunder,Kassulke, Schaefer and Renner,923.61,60
166,HabitacionHostal,83,Farmco,O'Connell, Maggio and Stehr,438.62,1
167,HabitacionVivienda,53,Cottonwood,Strosin-Tromp,343.61,180
168,Vivienda,757,Saint Paul,Williamson, Bosco and Boehm,106.51,180
169,HabitacionHotel,981,Duke,Corwin LLC,32.02,60
170,HabitacionUniversitaria,266,Blue Bill Park,Zemlak, Kemmer and Romaguera,597.66,60
171,HabitacionUniversitaria,246,Vidon,Nitzsche and Sons,988.06,180
172,Vivienda,453,Dryden,Kertzmann Group,548.79,30
173,Apartamento,996,Florence,Senger, Gottlieb and Mertz,871.71,180
174,Apartamento,547,Daystar,Bogan, Frami and Walter,343.17,60
175,HabitacionUniversitaria,775,Southridge,Hettinger-Spinka,467.54,60
176,HabitacionVivienda,563,Delladonna,Gislason Group,890.28,180
177,HabitacionHostal,466,Lighthouse Bay,Mraz-Hamill,940.46,30
178,HabitacionHotel,408,Arapahoe,Lehner-Schneider,912.39,180
179,Apartamento,282,Claremont,Hettinger-Spencer,181.37,30
180,HabitacionVivienda,739,Gateway,Runolfsdottir Inc,237.0,60
181,HabitacionHostal,339,Oak,Homenick, Smith and Jast,448.89,180
182,HabitacionUniversitaria,158,Manitowish,Zieme-Will,995.94,60
183,Vivienda,45,Banding,Kub Group,758.23,180
184,HabitacionUniversitaria,910,Crowley,Breitenberg Group,570.67,1
185,HabitacionHotel,750,Arkansas,Glover-Bartell,70.07,30
186,HabitacionHostal,178,Rieder,Sauer-Kiehn,444.63,180
187,HabitacionHotel,414,Rusk,Wintheiser-Runolfsdottir,201.93,30
188,HabitacionHostal,950,Sherman,Hand-McKenzie,276.28,1
189,Apartamento,211,Chive,Stanton, Bednar and Rau,794.34,30
190,HabitacionHotel,646,Calypso,Sanford-Fahey,54.35,60
191,HabitacionHostal,202,Kingsford,Langosh-Bogan,363.85,180
192,Vivienda,129,Rockefeller,Lueilwitz-Schneider,438.37,1
193,HabitacionHostal,449,Clarendon,Mueller-Rohan,370.94,1
194,HabitacionHostal,635,Lakewood,Kilback Group,415.26,60
195,Vivienda,968,Steensland,Steuber-Thompson,557.44,60
196,Vivienda,190,Mallory,Daugherty-McDermott,351.36,30
197,HabitacionHotel,187,Amoth,Carter-Donnelly,703.35,1
198,HabitacionVivienda,145,Canary,Lowe LLC,556.13,30
199,Apartamento,699,Transport,Connelly, Farrell and Kertzmann,306.6,30
200,Vivienda,995,Warner,Schinner Inc,839.99,30
201,HabitacionVivienda,899,Petterle,Batz, Crooks and Zboncak,843.68,30
202,HabitacionUniversitaria,602,Brentwood,Moore-Crist,432.05,180
203,HabitacionHostal,831,Lakeland,Heaney, Bauch and Simonis,291.02,60
204,HabitacionUniversitaria,689,Forest Run,Bruen-Botsford,720.4,1
205,Apartamento,105,Oriole,Bednar, Weimann and Yost,604.41,30
206,HabitacionHostal,869,Center,Collins, Buckridge and Rosenbaum,808.15,180
207,HabitacionVivienda,248,Eastlawn,Trantow Group,135.39,180
208,Apartamento,822,Comanche,Rogahn, Cartwright and McCullough,556.49,30
209,Apartamento,252,Pond,Macejkovic, Leuschke and Hansen,508.96,180
210,Vivienda,521,Sommers,Roob and Sons,251.15,30
211,HabitacionHotel,756,Talmadge,Balistreri-Skiles,537.12,30
212,HabitacionUniversitaria,668,Superior,Lesch LLC,333.76,30
213,HabitacionHostal,893,Eagle Crest,Hessel Inc,170.83,30
214,HabitacionUniversitaria,725,Laurel,Waters and Sons,694.23,60
215,HabitacionHotel,960,Steensland,Steuber-Cremin,146.87,30
216,Apartamento,862,Ryan,Parker, Volkman and O'Kon,816.36,1
217,HabitacionVivienda,96,Sullivan,Larson and Sons,890.82,1
218,Apartamento,499,Sheridan,Treutel, Kertzmann and Schneider,227.36,30
219,HabitacionHostal,266,Maywood,Bernhard-Kozey,385.03,30
220,Vivienda,990,Saint Paul,Durgan, Schowalter and O'Kon,134.33,30
221,HabitacionVivienda,324,Roth,Gleason, Feeney and Kautzer,387.7,60
222,HabitacionHotel,925,Cambridge,Swift and Sons,233.09,60
223,HabitacionUniversitaria,71,Algoma,Schimmel Group,500.04,1
224,HabitacionHotel,478,Schlimgen,Kuvalis and Sons,161.55,180
225,HabitacionHotel,748,Northfield,Kunde-Crooks,134.43,180
226,HabitacionVivienda,157,Stone Corner,Cronin, O'Hara and Kub,141.4,180
227,Vivienda,534,Northport,Hartmann Inc,584.05,1
228,HabitacionHostal,988,Atwood,Cormier-Howell,789.62,180
229,HabitacionVivienda,281,Brown,Heathcote-Weissnat,363.23,60
230,HabitacionHotel,522,Northridge,Ritchie, Wintheiser and Pfannerstill,68.49,1
231,Apartamento,84,Rieder,Leffler and Sons,59.09,60
232,HabitacionHotel,703,Lerdahl,Fisher Group,666.72,1
233,HabitacionHostal,790,Chive,Hirthe, Reichert and Sawayn,141.42,180
234,HabitacionVivienda,500,Macpherson,Willms, Wunsch and Hermann,11.26,1
235,HabitacionHostal,145,Moulton,Kreiger-Langosh,938.99,60
236,Apartamento,842,Waywood,Emmerich, Smitham and Mayert,836.82,30
237,HabitacionHostal,285,Mayfield,Oberbrunner-Orn,829.74,60
238,HabitacionVivienda,530,Cascade,Langworth Group,14.97,1
239,HabitacionHostal,10,Maywood,Wilderman LLC,788.85,1
240,HabitacionHotel,202,Forest,Kuhlman-Deckow,284.65,30
241,HabitacionUniversitaria,769,Fulton,Ritchie, Johns and Turner,859.29,60
242,HabitacionUniversitaria,970,Anniversary,Little LLC,229.9,180
243,Apartamento,931,Continental,Stehr, Quitzon and Connelly,21.97,180
244,Apartamento,750,Summit,Auer-Okuneva,87.86,1
245,HabitacionVivienda,765,Ilene,Flatley Inc,830.88,1
246,HabitacionUniversitaria,824,Banding,Emard-Zboncak,549.12,60
247,HabitacionUniversitaria,796,Surrey,Glover Inc,994.48,180
248,HabitacionUniversitaria,778,Cascade,Rohan-Krajcik,259.86,180
249,HabitacionHostal,628,Park Meadow,Little, Franecki and Kub,995.77,60
250,HabitacionUniversitaria,643,Sugar,Heaney-Bahringer,958.02,180
251,HabitacionUniversitaria,537,Roth,Bednar LLC,484.79,1
252,Vivienda,73,Paget,Ryan-Price,694.69,180
253,HabitacionHotel,972,Continental,Mosciski, McLaughlin and Schulist,243.98,1
254,HabitacionHotel,310,Fieldstone,Tromp-Kautzer,853.25,1
255,Vivienda,670,Birchwood,Ferry-Grimes,715.52,180
256,HabitacionHotel,931,Elka,Tremblay, Yost and Lockman,399.27,1
257,HabitacionHostal,629,Stoughton,Renner-Fay,460.77,60
258,Vivienda,981,Northridge,Adams-Blanda,786.8,60
259,HabitacionHotel,24,Fremont,VonRueden Inc,353.62,60
260,HabitacionUniversitaria,553,Coolidge,Brown, Rau and Spencer,730.88,180
261,HabitacionVivienda,909,Oxford,O'Conner, Goldner and Hermiston,527.57,1
262,Apartamento,599,Sheridan,Pfannerstill Group,424.06,60
263,HabitacionUniversitaria,906,Stephen,Daugherty-O'Hara,17.45,1
264,Apartamento,8,Macpherson,Johns and Sons,316.09,60
265,HabitacionUniversitaria,794,Golden Leaf,DuBuque-Auer,521.29,1
266,HabitacionHostal,564,Londonderry,Lowe-Fadel,409.48,1
267,Vivienda,816,Porter,Eichmann, Ryan and Lehner,717.03,1
268,HabitacionUniversitaria,373,Sugar,Lakin Inc,112.37,30
269,Vivienda,19,8th,Lubowitz-Pfeffer,16.77,60
270,HabitacionUniversitaria,919,Namekagon,Little LLC,211.14,1
271,HabitacionVivienda,694,Burning Wood,Kuhn-Jacobi,548.43,180
272,HabitacionVivienda,776,Pepper Wood,Zemlak LLC,627.18,180
273,HabitacionUniversitaria,525,Messerschmidt,Nikolaus-Bartell,474.1,1
274,Vivienda,91,Dixon,McGlynn Group,431.23,30
275,Apartamento,95,Farmco,Lockman, Keeling and Emard,593.31,180
276,HabitacionVivienda,142,4th,Crona-Reynolds,400.55,180
277,HabitacionVivienda,49,Red Cloud,Rath, Labadie and Kemmer,221.7,1
278,HabitacionUniversitaria,269,2nd,Corwin-Torp,358.05,60
279,Vivienda,747,Victoria,Huels Inc,424.53,30
280,HabitacionVivienda,581,Mariners Cove,Lockman-Blick,85.64,60
281,Vivienda,403,Hauk,Kessler-Veum,387.06,30
282,HabitacionUniversitaria,97,Kings,Donnelly Group,821.37,30
283,Apartamento,262,Pearson,Shanahan-Douglas,316.61,1
284,HabitacionHotel,440,Shopko,Lindgren, Schowalter and Lowe,749.0,60
285,Apartamento,549,Bonner,Mosciski-Von,292.16,60
286,HabitacionHotel,472,Boyd,Kling-Spinka,762.35,60
287,HabitacionHotel,632,Debra,Okuneva LLC,42.43,60
288,Apartamento,671,Roth,Schaden-Walker,272.3,1
289,HabitacionVivienda,399,Thierer,Lindgren-Robel,688.21,1
290,HabitacionVivienda,430,Loomis,Corkery Group,478.23,1
291,HabitacionUniversitaria,134,Memorial,Cormier, Harris and Swift,290.94,180
292,Vivienda,646,Kropf,Rolfson, Mraz and Hickle,518.47,30
293,HabitacionVivienda,888,Garrison,Yundt-Parker,469.42,30
294,HabitacionHostal,985,Beilfuss,Schmeler, Mraz and McClure,613.27,180
295,HabitacionHotel,620,Hansons,Aufderhar, Harvey and Larkin,906.21,30
296,HabitacionHotel,503,Goodland,Schiller Inc,101.02,60
297,Apartamento,697,Thompson,Klocko and Sons,475.11,1
298,Vivienda,71,Debra,Grant Group,157.87,30
299,HabitacionUniversitaria,45,Killdeer,Gerhold-Olson,431.59,30
300,HabitacionHotel,547,Roxbury,Steuber and Sons,7.9,1
301,Apartamento,307,Rusk,Hilpert-Emard,885.66,30
302,HabitacionVivienda,677,Forest,Tremblay LLC,382.87,180
303,Apartamento,911,Garrison,Kassulke-Harber,283.53,180
304,Apartamento,908,Arapahoe,Kilback LLC,489.67,1
305,HabitacionHostal,83,Westridge,Dibbert, Rosenbaum and Schoen,221.97,180
306,HabitacionHotel,850,Macpherson,Kuhic, Lebsack and Pollich,169.9,60
307,Vivienda,424,Barby,Fay-Brown,992.18,180
308,Vivienda,256,Spenser,Baumbach-Brakus,694.01,60
309,HabitacionHotel,195,Village Green,Quigley and Sons,856.54,1
310,HabitacionHostal,863,Buell,Hermann-Nader,1.98,60
311,HabitacionHotel,26,Bunting,Keebler, Glover and Zemlak,193.73,60
312,Apartamento,564,Chinook,Rath-Quigley,632.56,180
313,Apartamento,214,Mccormick,Carroll, Waelchi and Hermiston,122.52,30
314,Apartamento,371,Jackson,Padberg-Abshire,317.13,60
315,Apartamento,38,Mitchell,Hoeger Group,747.99,180
316,Apartamento,790,Northridge,Gaylord LLC,608.95,180
317,Vivienda,175,Bonner,Luettgen Inc,654.86,1
318,HabitacionUniversitaria,415,Sachtjen,Windler, Stoltenberg and Medhurst,606.75,1
319,Vivienda,495,Bayside,Roberts and Sons,170.37,60
320,HabitacionHostal,516,Manley,Berge, Carroll and Turner,110.47,180
321,Apartamento,279,Northland,Skiles Inc,978.39,30
322,HabitacionUniversitaria,386,Charing Cross,Dare-Stracke,832.93,60
323,HabitacionVivienda,610,Holmberg,Gaylord-Parisian,112.41,60
324,Apartamento,495,Cascade,Lehner, Watsica and Mosciski,765.1,180
325,HabitacionHostal,337,Waubesa,Friesen, Ratke and Wolff,20.95,60
326,Vivienda,796,Monterey,Herzog-Volkman,626.85,180
327,HabitacionVivienda,635,Monument,Jakubowski, Jones and Prosacco,926.21,180
328,Vivienda,280,Merry,Doyle and Sons,513.01,1
329,Apartamento,405,Delladonna,Cormier, Gibson and Johnston,261.81,30
330,HabitacionHostal,95,Ridgeview,Hintz LLC,13.92,180
331,HabitacionVivienda,484,Upham,Flatley-Gerhold,369.18,60
332,HabitacionHotel,776,Brentwood,Gusikowski and Sons,185.94,60
333,HabitacionHotel,536,Johnson,Kuphal, Schmitt and Beahan,753.82,1
334,HabitacionHotel,299,Charing Cross,Hagenes, Hartmann and Lindgren,25.98,30
335,HabitacionUniversitaria,635,Merry,Ebert, Luettgen and Satterfield,840.36,30
336,Apartamento,884,Porter,Mayert, Pagac and Abernathy,677.52,180
337,HabitacionUniversitaria,744,Heffernan,Jacobs LLC,875.66,30
338,HabitacionUniversitaria,590,Waywood,Howe, Franecki and Walsh,670.04,180
339,HabitacionUniversitaria,525,Corscot,Hegmann-Fay,975.81,30
340,HabitacionHotel,434,Amoth,Kling-Hamill,997.92,30
341,HabitacionHostal,727,Lotheville,Weimann-Padberg,768.52,1
342,HabitacionUniversitaria,812,Rusk,Ondricka, Towne and Schiller,185.39,1
343,HabitacionUniversitaria,308,Mendota,Lakin, Aufderhar and Von,944.87,1
344,HabitacionHostal,605,Almo,Heidenreich-Fadel,227.33,60
345,HabitacionUniversitaria,874,Loomis,Bruen, Fisher and Kirlin,369.18,180
346,Vivienda,423,Fieldstone,Herzog, Hegmann and Kuhic,560.25,180
347,HabitacionHotel,772,Transport,Gaylord-Emmerich,341.89,180
348,HabitacionUniversitaria,863,Laurel,Spencer, Nitzsche and Mueller,889.84,1
349,Apartamento,135,Gerald,Lubowitz and Sons,270.93,60
350,HabitacionUniversitaria,688,Meadow Valley,Corkery Group,428.28,180
351,HabitacionUniversitaria,712,Forest Run,Prosacco Inc,702.32,1
352,HabitacionHotel,645,Pierstorff,Grimes LLC,124.14,30
353,Vivienda,744,Pankratz,Schoen-McLaughlin,455.71,60
354,HabitacionVivienda,604,3rd,Wuckert LLC,859.95,30
355,HabitacionHostal,211,Chinook,Abbott, Corkery and Morar,297.94,1
356,HabitacionVivienda,142,Sachtjen,Schiller LLC,159.95,30
357,HabitacionUniversitaria,353,Summerview,Hickle Group,617.45,180
358,HabitacionHotel,842,Nancy,Leffler, McDermott and Greenfelder,579.32,30
359,HabitacionVivienda,143,Brentwood,Bernhard LLC,532.75,30
360,HabitacionHotel,43,Ronald Regan,Dickens and Sons,717.15,60
361,HabitacionUniversitaria,457,Birchwood,Kutch and Sons,466.59,180
362,Vivienda,862,Lawn,Mayer, Hoppe and Huels,784.82,30
363,HabitacionHotel,249,Saint Paul,Rolfson, Fadel and Zboncak,241.92,180
364,HabitacionHotel,474,Westerfield,Mante-Abbott,838.11,60
365,HabitacionHotel,63,Red Cloud,Deckow-Lakin,608.91,180
366,HabitacionHostal,256,Waxwing,Skiles-Dicki,191.2,60
367,HabitacionUniversitaria,937,Stoughton,Hilpert, Weber and Hahn,190.32,30
368,HabitacionVivienda,816,Spohn,Berge and Sons,491.96,180
369,Apartamento,268,Meadow Valley,Hackett-Padberg,666.24,180
370,HabitacionUniversitaria,356,Dakota,Lehner Inc,500.23,60
371,HabitacionVivienda,814,Forest Run,Daniel, Borer and McCullough,413.98,30
372,HabitacionHotel,624,Sachtjen,Douglas, Luettgen and Crooks,546.0,30
373,HabitacionHotel,362,Granby,Sawayn LLC,625.1,1
374,HabitacionHotel,988,Moose,Vandervort Inc,7.79,180
375,HabitacionVivienda,237,Warbler,Erdman, Parker and Lang,765.16,30
376,Vivienda,930,Melby,Kshlerin, Conroy and Herzog,952.09,1
377,Apartamento,511,Main,Ebert, Parker and Ullrich,629.22,60
378,Vivienda,320,La Follette,Yundt, Conn and Murphy,607.65,180
379,HabitacionHostal,950,Continental,Mosciski Group,628.63,180
380,HabitacionUniversitaria,162,Shopko,Pfannerstill-Jast,604.77,60
381,HabitacionHostal,677,Shelley,Prohaska LLC,632.75,180
382,HabitacionHostal,913,Dottie,Ziemann-Abernathy,470.56,180
383,HabitacionUniversitaria,902,Bayside,Leuschke, Sawayn and Runte,343.04,1
384,HabitacionHotel,866,South,Jerde-Orn,505.81,180
385,HabitacionUniversitaria,595,Derek,Gibson, Batz and Wunsch,957.18,60
386,Apartamento,996,Bunker Hill,Hackett-Dietrich,601.94,30
387,HabitacionVivienda,287,Mayfield,McClure-Legros,222.74,180
388,Apartamento,850,Forest Run,Marquardt, Flatley and Kutch,23.18,180
389,HabitacionHotel,56,Springs,Dickinson LLC,513.46,1
390,HabitacionUniversitaria,75,Paget,Konopelski-Hamill,231.14,180
391,HabitacionVivienda,488,Merchant,Lemke, Roberts and Emard,67.45,180
392,HabitacionHotel,472,Schiller,Smith, Rogahn and Kovacek,78.36,30
