id,Capacidad,Tipo,NumeroHabitacion,Tamano
2217,1,Doble,174,756
2218,5,Doble,627,441
2219,5,Doble,152,466
2220,2,Sencilla,294,217
2221,3,Doble,801,852
2222,1,Doble,881,903
2223,2,Sencilla,653,928
2224,5,Rey,78,504
2225,3,Rey,67,787
2226,6,Suite,20,503
2227,5,Sencilla,158,660
2228,3,Sencilla,885,722
2229,2,Rey,539,217
2230,1,Sencilla,532,61
2231,4,Suite,711,243
2232,1,Rey,455,925
2233,2,Sencilla,516,683
2234,5,Rey,541,966
2235,5,Doble,960,244
2236,1,Doble,217,680
2237,4,Sencilla,232,519
2238,6,Sencilla,773,114
2239,1,Suite,407,530
2240,5,Rey,49,959
2241,5,Suite,41,591
2242,1,Suite,333,743
2243,5,,,
2244,4,Suite,284,989
2245,6,Doble,602,265
2246,5,Doble,79,18
2247,3,Sencilla,744,934
2248,4,Rey,775,977
2249,2,Suite,515,240
2250,4,Doble,125,69
2251,5,Sencilla,187,149
2252,4,Doble,38,566
2253,5,Sencilla,809,331
2254,6,Suite,433,671
2255,6,Sencilla,94,353
2256,2,Sencilla,316,228
2257,4,Doble,170,664
2258,4,Doble,604,125
2259,4,Sencilla,610,86
2260,3,Doble,896,47
2261,1,Suite,762,881
2262,5,Rey,328,641
2263,1,Rey,18,23
2264,5,Doble,499,483
2265,2,Rey,119,759
2266,2,Doble,56,780
2267,6,Sencilla,208,164
2268,4,Rey,753,959
2269,6,Suite,346,512
2270,4,Suite,705,916
2271,3,Sencilla,994,560
2272,4,Sencilla,877,879
2273,6,Doble,349,464
2274,2,Suite,464,742
2275,1,Sencilla,385,891
2276,6,Rey,906,161
2277,5,Doble,838,59
2278,4,Sencilla,649,872
2279,2,Suite,815,763
2280,5,Doble,972,598
2281,6,Sencilla,508,984
2282,3,Doble,610,169
2283,2,Sencilla,98,674
2284,4,,,
2285,6,Rey,473,756
2286,4,Sencilla,803,192
2287,4,Rey,362,434
2288,3,Rey,865,509
2289,4,Rey,769,12
2290,6,Rey,582,774
2291,4,Sencilla,591,224
2292,3,Sencilla,697,826
2293,3,Doble,972,919
2294,1,Doble,748,430
2295,5,Suite,322,392
2296,6,Doble,168,358
2297,6,Sencilla,806,258
2298,3,Suite,618,636
2299,3,Suite,830,667
2300,3,Rey,78,406
2301,5,Suite,328,472
2302,5,Doble,81,744
2303,3,Sencilla,904,874
2304,5,Doble,154,912
2305,4,Suite,276,542
2306,4,Doble,478,842
2307,3,Rey,60,729
2308,3,Rey,283,74
2309,3,Doble,959,719
2310,3,Suite,88,23
2311,4,Rey,149,561
2312,5,Sencilla,730,557
2313,4,Doble,599,421
2314,1,Sencilla,471,263
2315,6,Doble,392,124
2316,1,Rey,211,949
2317,3,Suite,824,193
2318,1,Doble,938,312
2319,6,Rey,517,445
2320,5,Doble,804,775
2321,2,Sencilla,202,503
2322,5,Rey,910,909
2323,6,Suite,101,466
2324,3,Suite,459,120
2325,3,Suite,276,774
2326,1,Sencilla,148,104
2327,3,Sencilla,79,557
2328,4,Sencilla,557,214
2329,6,Suite,832,739
2330,4,Sencilla,521,332
2331,4,Rey,576,608
2332,6,Sencilla,241,238
2333,2,Rey,832,527
2334,2,Suite,122,419
2335,3,Doble,499,389
2336,5,Rey,405,13
2337,3,Doble,677,570
2338,5,Rey,427,916
2339,3,Suite,320,941
2340,2,Rey,741,579
2341,3,Rey,515,891
2342,5,Suite,411,570
2343,3,Suite,408,489
2344,6,Rey,471,556
2345,1,Suite,128,712
2346,4,Sencilla,645,194
2347,2,Sencilla,295,525
2348,3,Suite,342,498
2349,4,Doble,945,595
2350,3,Rey,977,920
2351,6,Sencilla,150,502
2352,3,Rey,197,262
2353,6,Rey,233,974
2354,6,Suite,289,423
2355,5,Rey,144,640
2356,6,Doble,682,289
2357,5,Rey,374,900
2358,4,Suite,109,629
2359,6,Sencilla,591,9
2360,2,Suite,280,788
2361,2,Suite,232,320
2362,3,Suite,27,110
2363,4,Sencilla,583,583
2364,5,Suite,217,545
2365,5,,,
2366,3,Suite,395,51
2367,2,,,
2368,6,Suite,280,133
2369,2,Suite,151,640
2370,1,,,
2371,4,Suite,370,155
2372,4,Suite,474,246
2373,3,Doble,498,326
2374,1,Sencilla,960,652
2375,1,Doble,883,258
2376,6,Suite,746,399
2377,3,Doble,212,721
2378,5,Suite,544,665
2379,1,Doble,829,405
2380,5,Suite,259,35
2381,3,,,
2382,4,Sencilla,147,432
2383,6,Doble,899,314
2384,1,Sencilla,83,140
2385,5,Sencilla,782,377
2386,4,Sencilla,145,149
2387,3,Rey,423,195
2388,4,Doble,465,175
2389,6,,,
2390,1,Suite,100,70
2391,1,Doble,3,379
2392,4,Doble,957,671
2393,4,Sencilla,984,71
2394,4,Sencilla,797,887
2395,2,Suite,229,611
2396,3,Doble,221,989
2397,2,Suite,163,242
2398,6,Rey,652,763
2399,4,Sencilla,935,991
2400,1,Sencilla,954,498
2401,1,Suite,936,486
2402,6,Sencilla,577,963
2403,4,Doble,775,846
2404,1,Doble,766,893
2405,2,Doble,692,528
2406,3,Sencilla,956,108
2407,4,Doble,974,801
2408,5,Sencilla,645,985
2409,3,Sencilla,912,19
2410,1,Doble,753,847
2411,2,Rey,450,473
2412,1,Rey,476,17
2413,2,Suite,107,749
2414,5,Sencilla,48,633
2415,3,Sencilla,17,618
2416,3,Suite,336,420
2417,1,Suite,647,344
2418,1,Suite,57,192
2419,6,Sencilla,640,736
2420,4,Rey,237,825
2421,3,Suite,119,363
2422,5,Rey,958,674
2423,2,Suite,264,918
2424,2,Rey,818,654
2425,3,Sencilla,867,330
2426,5,,,
2427,4,Suite,1000,713
2428,1,Doble,577,142
2429,3,Sencilla,756,306
2430,3,Suite,730,592
2431,4,Sencilla,631,589
2432,6,,,
2433,2,Rey,707,324
2434,5,Suite,818,207
2435,5,Rey,399,553
2436,4,Suite,567,566
2437,2,Doble,194,594
2438,6,Sencilla,37,706
2439,6,Doble,903,53
2440,6,Suite,675,902
2441,6,Sencilla,609,745
2442,2,Suite,21,248
2443,1,Rey,371,487
2444,1,Suite,927,783
2445,5,Suite,149,579
2446,5,Doble,370,424
2447,5,Rey,76,405
2448,6,Sencilla,644,602
2449,6,Suite,826,139
2450,5,Suite,292,352
2451,2,Suite,628,9
2452,3,Rey,519,17
2453,2,Doble,256,833
2454,6,Sencilla,602,741
2455,3,Rey,291,82
2456,1,Suite,128,689
2457,4,Rey,578,876
2458,1,Sencilla,827,444
2459,1,Rey,63,568
2460,2,Doble,845,284
2461,2,Suite,105,960
2462,5,Sencilla,307,65
2463,4,Sencilla,547,179
2464,3,Doble,244,699
2465,2,Sencilla,827,395
2466,3,Sencilla,788,44
2467,6,,,
2468,5,Suite,723,926
2469,1,Suite,769,186
2470,5,Doble,763,878
2471,2,Suite,217,644
2472,5,Suite,502,810
2473,2,Sencilla,412,771
2474,3,Doble,366,452
2475,6,Doble,79,840
2476,3,Doble,287,971
2477,5,Suite,872,387
2478,5,Suite,46,229
2479,5,Doble,967,542
2480,4,Rey,939,390
2481,2,Suite,340,529
2482,1,Sencilla,343,541
2483,6,Sencilla,547,899
2484,4,Suite,619,673
2485,5,Doble,275,611
2486,4,Doble,869,600
2487,3,Rey,277,149
2488,2,Doble,708,42
2489,4,Rey,351,120
2490,1,Sencilla,986,305
2491,6,Doble,378,460
2492,6,Rey,49,426
2493,1,Sencilla,510,552
2494,5,Suite,967,140
2495,1,Suite,218,770
2496,4,Suite,946,580
2497,3,Doble,606,846
2498,1,Doble,960,290
2499,3,Doble,63,294
2500,1,Suite,312,826
2501,4,Suite,478,885
2502,2,Sencilla,907,835
2503,5,Doble,475,791
2504,2,Sencilla,167,490
2505,1,Doble,274,736
2506,1,Rey,572,78
2507,4,Suite,311,357
2508,2,Suite,976,305
2509,1,Rey,845,109
2510,6,Sencilla,516,678
2511,5,Doble,455,916
2512,4,Doble,744,987
2513,6,Rey,626,849
2514,1,Sencilla,73,935
2515,2,Sencilla,504,60
2516,5,Rey,849,774
2517,2,Sencilla,593,82
2518,1,Rey,643,497
2519,6,Sencilla,96,604
2520,2,Suite,538,262
2521,2,Rey,264,789
2522,2,Rey,320,540
2523,6,Suite,482,801
2524,4,Rey,667,954
2525,4,Suite,243,656
2526,1,Rey,749,94
2527,2,Rey,843,671
2528,3,Sencilla,167,831
2529,6,Doble,457,700
2530,6,,,
2531,6,Doble,223,194
2532,4,Doble,63,109
2533,3,Doble,97,192
2534,5,,,
2535,2,Rey,922,311
2536,6,Sencilla,610,992
2537,2,Doble,400,920
2538,3,Suite,523,36
2539,1,Rey,523,25
2540,3,Rey,118,722
2541,5,Sencilla,428,408
2542,1,Doble,744,80
2543,4,Rey,758,105
2544,3,Rey,799,567
2545,5,Sencilla,963,923
2546,5,,,
2547,2,Rey,394,198
2548,5,Sencilla,175,691
2549,3,Doble,978,640
2550,6,Doble,35,598
2551,6,Doble,664,395
2552,6,Rey,127,641
2553,5,Rey,497,77
2554,5,Suite,514,208
2555,4,Suite,833,629
2556,1,Sencilla,766,172
2557,3,Doble,720,473
2558,3,Suite,485,969
2559,5,Rey,722,452
2560,1,Sencilla,86,14
2561,5,Suite,851,739
2562,2,Doble,678,330
2563,1,Doble,526,12
2564,4,Sencilla,329,510
2565,6,Sencilla,396,90
2566,6,Rey,853,451
2567,5,Suite,41,347
2568,4,Suite,738,962
2569,1,Doble,987,933
2570,3,Suite,549,231
2571,2,,,
2572,1,Suite,40,570
2573,5,Suite,777,116
2574,1,Rey,537,987
2575,6,,,
2576,4,Rey,87,941
2577,6,Rey,484,87
2578,5,Doble,291,807
2579,3,Sencilla,276,976
2580,4,Rey,199,429
2581,5,Suite,980,816
2582,2,Rey,292,722
2583,3,Rey,964,961
2584,2,Doble,726,920
2585,1,Rey,613,227
2586,2,Rey,40,38
2587,4,Sencilla,13,613
2588,1,Doble,952,101
2589,3,Sencilla,806,642
2590,6,Doble,740,746
2591,4,Rey,373,431
2592,2,Suite,831,722
2593,5,Doble,685,659
2594,2,Rey,419,434
2595,5,Rey,954,286
2596,2,Doble,640,298
2597,1,Suite,474,54
2598,1,Sencilla,327,504
2599,6,Rey,327,755
2600,2,Rey,48,294
2601,2,Suite,499,984
2602,1,Rey,390,553
2603,6,Suite,381,815
2604,3,Suite,791,242
2605,5,Doble,217,559
2606,1,Doble,754,678
2607,4,Sencilla,350,512
2608,4,Doble,268,310
2609,6,Sencilla,173,917
2610,4,Rey,739,465
2611,1,Sencilla,391,154
2612,4,Suite,59,564
2613,2,Suite,692,944
2614,3,Sencilla,499,798
2615,5,Sencilla,686,187
2616,1,Sencilla,792,923
2617,6,Sencilla,638,701
2618,3,Doble,436,787
2619,4,Suite,734,36
2620,1,,,
2621,4,Doble,746,911
2622,5,Doble,980,716
2623,2,Sencilla,441,776
2624,3,Sencilla,737,581
2625,2,Sencilla,862,663
2626,2,Doble,594,38
2627,6,Rey,282,589
2628,2,Sencilla,458,381
2629,3,Rey,838,516
2630,2,Doble,374,120
2631,3,Sencilla,428,610
2632,3,Suite,716,994
2633,2,Doble,868,257
2634,1,Rey,691,235
2635,2,Rey,570,177
2636,4,Doble,599,823
2637,6,Rey,729,870
2638,4,Suite,723,937
2639,4,Rey,993,780
2640,6,Sencilla,872,335
2641,2,Rey,480,27
2642,6,Sencilla,222,661
2643,6,Rey,643,190
2644,3,Doble,804,33
2645,2,Sencilla,207,114
2646,5,Sencilla,672,208
2647,1,Doble,125,614
2648,2,Sencilla,558,558
2649,1,Doble,724,23
2650,6,Rey,424,475
2651,1,Doble,156,822
2652,6,Doble,269,85
2653,2,Rey,158,21
2654,3,Suite,779,527
2655,3,Sencilla,150,241
2656,1,Suite,289,337
2657,3,Suite,909,387
2658,6,Doble,795,636
2659,6,Sencilla,325,278
2660,4,Suite,135,183
2661,1,Sencilla,811,599
2662,6,Rey,721,817
2663,3,Suite,207,633
2664,4,Sencilla,753,961
2665,2,Rey,122,552
2666,3,Suite,308,978
2667,6,Rey,266,323
2668,2,Doble,249,883
2669,3,Sencilla,800,661
2670,3,Suite,389,10
2671,3,Rey,755,820
2672,1,Rey,258,321
2673,3,Rey,664,403
2674,6,Doble,778,894
2675,2,Suite,522,237
2676,5,Doble,128,458
2677,3,Doble,866,773
2678,2,Suite,786,89
2679,6,Sencilla,89,546
2680,4,Doble,514,859
2681,1,Suite,218,107
2682,2,Rey,736,455
2683,2,Doble,895,348
2684,4,Rey,677,439
2685,5,Suite,637,297
2686,5,Doble,491,24
2687,1,Suite,711,408
2688,5,Sencilla,303,587
2689,4,Sencilla,403,543
2690,3,Sencilla,475,269
2691,1,Doble,371,426
2692,3,Doble,838,756
2693,3,,,
2694,1,Rey,220,836
2695,4,Doble,803,493
2696,2,Sencilla,322,402
2697,1,Doble,977,412
2698,1,Doble,334,576
2699,6,Sencilla,240,964
2700,1,,,
2701,1,Doble,149,137
2702,5,Rey,66,75
2703,3,Suite,878,791
2704,3,Sencilla,501,256
2705,5,Rey,743,545
2706,5,Suite,403,655
2707,4,Doble,834,12
2708,1,Suite,641,318
2709,4,Sencilla,895,69
2710,3,Rey,213,333
2711,2,Sencilla,29,98
2712,5,Suite,753,799
2713,6,Rey,726,458
2714,6,Sencilla,982,535
2715,2,Rey,623,187
2716,3,Suite,835,717
2717,6,Sencilla,913,729
2718,5,Suite,428,840
2719,1,Suite,441,543
2720,5,Doble,28,806
2721,6,Rey,543,309
2722,5,Doble,72,732
2723,2,,,
2724,2,Doble,957,88
2725,6,Sencilla,405,728
2726,5,Suite,735,111
2727,6,,,
2728,6,Sencilla,984,944
2729,6,Rey,837,479
2730,4,Rey,534,158
2731,1,Sencilla,348,77
2732,1,,,
2733,2,Suite,341,911
2734,2,Rey,241,985
2735,1,Rey,129,127
2736,3,Doble,20,663
2737,1,Doble,185,856
2738,1,Rey,38,3
2739,5,Rey,443,176
2740,3,Sencilla,506,871
2741,5,Doble,677,770
2742,3,Sencilla,41,415
2743,6,Suite,698,867
2744,5,Rey,521,679
2745,5,Rey,18,833
2746,5,Rey,649,301
2747,1,Doble,381,997
2748,1,Sencilla,827,355
2749,5,Doble,419,374
2750,2,Sencilla,248,420
2751,5,Suite,88,823
2752,3,Rey,473,482
2753,1,Doble,913,205
2754,3,Suite,551,331
2755,1,Sencilla,845,302
2756,2,Rey,433,691
2757,5,Rey,129,817
2758,2,Sencilla,776,879
2759,4,Suite,600,413
2760,2,Sencilla,646,658
2761,4,Doble,626,359
2762,6,Sencilla,205,101
2763,4,Rey,143,136
2764,1,Rey,298,148
2765,1,Suite,832,642
2766,1,Doble,668,806
2767,5,Doble,802,129
2768,1,Sencilla,151,564
2769,4,Suite,13,629
2770,3,Rey,599,297
2771,3,Sencilla,564,51
2772,6,Sencilla,233,849
2773,2,Rey,889,171
2774,6,Doble,432,961
2775,4,Rey,685,849
2776,5,Suite,208,905
2777,4,Suite,985,68
2778,6,Rey,827,212
2779,1,Rey,214,703
2780,3,Sencilla,1000,396
2781,1,Suite,767,434
2782,1,Sencilla,51,662
2783,5,Suite,889,760
2784,1,Doble,891,94
2785,1,Doble,797,625
2786,2,Suite,5,257
2787,1,Sencilla,250,964
2788,5,Sencilla,780,352
2789,2,Sencilla,251,154
2790,1,Doble,831,697
2791,4,Suite,456,1000
2792,3,Doble,529,497
2793,1,Rey,978,158
2794,4,Suite,757,64
2795,2,Sencilla,201,249
2796,5,Doble,573,938
2797,6,Sencilla,132,813
2798,5,Rey,590,861
2799,2,Suite,973,924
2800,2,Suite,960,792
2801,5,Doble,672,162
2802,5,Sencilla,138,669
2803,6,Rey,906,44
2804,1,Sencilla,673,830
2805,4,Rey,347,824
2806,6,Sencilla,472,610
2807,6,Suite,560,250
2808,4,Rey,320,362
2809,6,Sencilla,533,141
2810,3,Rey,336,746
2811,1,Suite,792,119
2812,4,Rey,111,981
2813,5,Doble,375,193
2814,2,Suite,145,663
2815,1,Doble,616,350
2816,4,Doble,566,835
2817,4,Suite,409,260
2818,2,Suite,734,542
2819,5,Sencilla,509,771
2820,5,Suite,919,264
2821,1,Suite,498,237
2822,6,Suite,229,205
2823,2,Rey,699,170
2824,3,Suite,164,214
2825,1,Rey,139,731
2826,6,Sencilla,923,173
2827,5,Rey,436,633
2828,1,Suite,624,452
2829,2,Suite,348,371
2830,1,Suite,614,182
2831,4,Rey,27,127
2832,6,Suite,649,688
2833,5,Suite,869,268
2834,6,Sencilla,483,884
2835,5,Doble,699,342
2836,1,Suite,56,337
2837,3,Doble,142,364
2838,1,Rey,862,836
2839,5,,,
2840,6,Doble,522,141
2841,5,Rey,527,842
2842,1,Sencilla,458,845
2843,5,Suite,8,179
2844,5,Sencilla,550,680
2845,6,Sencilla,948,271
2846,3,Suite,813,635
2847,2,Doble,742,734
2848,5,Doble,8,375
2849,5,Sencilla,865,671
2850,2,Rey,53,538
2851,4,Rey,23,311
2852,2,Suite,73,115
2853,5,Sencilla,762,31
2854,3,Doble,85,853
2855,1,Sencilla,665,20
2856,1,Suite,521,329
2857,5,Suite,330,552
2858,2,Suite,399,426
2859,3,Sencilla,666,188
2860,4,Doble,693,537
2861,1,Rey,108,386
2862,2,Sencilla,972,447
2863,4,Doble,791,183
2864,6,Rey,162,185
2865,1,Doble,589,5
2866,3,Doble,303,670
2867,2,Sencilla,793,17
2868,1,Sencilla,51,367
2869,5,Sencilla,860,629
2870,5,Rey,61,23
2871,4,Suite,893,139
2872,3,Rey,987,836
2873,3,Rey,983,240
2874,6,Doble,378,409
2875,2,Sencilla,324,167
2876,6,Sencilla,336,1
2877,6,Doble,369,70
2878,1,Sencilla,961,662
2879,6,Rey,580,76
2880,3,Rey,280,691
2881,5,Sencilla,896,651
2882,1,Doble,904,803
2883,2,Sencilla,635,528
2884,2,Rey,582,731
2885,3,Doble,692,980
2886,6,,,
2887,1,Suite,506,221
2888,1,Suite,362,366
2889,2,Sencilla,971,481
2890,1,Rey,192,672
2891,1,Doble,320,669
2892,4,Suite,144,442
2893,5,Doble,137,574
2894,1,Suite,721,798
2895,2,,,
2896,2,Doble,327,656
2897,6,Doble,605,677
2898,1,Sencilla,196,825
2899,3,Doble,533,170
2900,5,Doble,854,573
2901,6,Sencilla,842,788
2902,1,Suite,326,131
2903,5,Suite,280,679
2904,3,Sencilla,834,793
2905,5,Suite,136,408
2906,5,Rey,282,61
2907,1,Suite,612,64
2908,3,Suite,318,654
2909,5,,,
2910,5,Sencilla,339,858
2911,5,Rey,557,366
2912,1,Rey,924,929
2913,6,Doble,43,284
2914,3,Suite,621,718
2915,1,Suite,699,731
2916,2,Doble,330,971
2917,4,Sencilla,488,311
2918,1,Rey,87,365
2919,3,Suite,992,558
2920,1,Sencilla,311,900
2921,1,Suite,759,242
2922,1,,,
2923,3,Rey,693,469
2924,3,Sencilla,765,711
2925,2,Rey,710,730
2926,5,Doble,407,536
2927,3,Sencilla,579,473
2928,1,Rey,368,52
2929,6,Sencilla,313,927
2930,3,Suite,730,743
2931,2,Sencilla,561,791
2932,3,Doble,973,285
2933,1,Sencilla,873,923
2934,6,Doble,119,587
2935,2,Doble,540,837
2936,5,Doble,531,166
2937,3,Suite,601,917
2938,6,Sencilla,272,142
2939,6,Sencilla,149,578
2940,1,Sencilla,13,410
2941,6,Rey,311,300
2942,1,Sencilla,828,998
2943,3,Sencilla,531,867
2944,4,Suite,38,883
2945,3,Doble,951,878
2946,2,Suite,277,476
2947,6,Suite,617,969
2948,2,Sencilla,713,588
2949,4,Suite,332,504
2950,5,Doble,433,46
2951,5,Sencilla,705,795
2952,5,Rey,88,121
2953,1,Doble,242,56
2954,2,Rey,86,579
2955,6,Sencilla,609,830
2956,1,Doble,632,147
2957,4,Doble,263,317
2958,5,Suite,914,15
2959,6,Doble,574,236
2960,2,Doble,643,766
2961,4,Suite,515,526
2962,2,Rey,944,216
2963,2,Doble,28,428
2964,3,Doble,724,664
2965,1,Doble,973,884
2966,2,Suite,333,583
2967,4,Suite,403,347
2968,4,Suite,517,955
2969,4,Suite,340,460
2970,6,Sencilla,450,334
2971,6,Doble,855,460
2972,1,Sencilla,259,619
2973,3,Rey,213,721
2974,1,Sencilla,182,768
2975,4,Sencilla,960,482
2976,1,Rey,943,341
2977,2,Rey,911,322
2978,6,Suite,919,702
2979,3,Suite,959,501
2980,1,Rey,220,838
2981,6,Sencilla,319,257
2982,6,Suite,871,877
2983,5,Doble,709,234
2984,1,Suite,885,933
2985,1,Rey,446,369
2986,6,Sencilla,876,102
2987,6,Sencilla,291,397
2988,1,Suite,285,774
2989,4,Doble,281,256
2990,5,Sencilla,918,889
2991,2,Sencilla,844,195
2992,2,Rey,724,680
2993,1,,,
2994,4,Suite,729,413
2995,6,Suite,90,241
2996,5,Doble,385,263
2997,1,Doble,819,565
2998,5,Doble,385,240
2999,3,Doble,344,852
3000,2,Rey,217,758
