Id,FechaLlegada,Recargo,CantidadDias,OFerta,Vigente
212,26/07/2015,0.0,389,592,N
213,25/08/2015,0.0,651,1407,Y
214,28/10/2015,0.0,851,1890,N
215,26/12/2014,0.0,825,90,Y
216,07/12/2014,0.0,313,3414,Y
217,05/10/2014,0.0,347,2186,N
218,05/04/2017,0.0,564,1349,N
219,12/05/2016,0.0,197,5840,N
220,06/11/2015,0.0,245,69,Y
221,22/04/2016,0.0,24,3421,Y
222,05/11/2013,0.0,132,754,Y
223,16/08/2015,0.0,550,3650,N
224,22/05/2013,0.0,78,2687,N
225,13/05/2015,0.0,314,5359,Y
226,04/01/2015,0.0,224,329,Y
227,13/03/2017,0.0,586,3166,Y
228,05/07/2015,0.0,351,970,N
229,24/02/2014,0.0,714,854,Y
230,26/03/2016,0.0,706,1492,Y
231,03/08/2017,0.0,946,3764,N
232,08/12/2014,0.0,763,1071,Y
233,17/08/2014,0.0,581,152,Y
234,06/05/2016,0.0,314,3795,N
235,04/01/2018,0.0,994,2915,N
236,04/06/2016,0.0,420,187,Y
237,08/06/2015,0.0,221,2358,N
238,05/08/2015,0.0,974,996,N
239,06/07/2013,0.0,467,435,Y
240,09/05/2017,0.0,407,4249,Y
241,10/07/2017,0.0,111,2275,Y
242,09/08/2015,0.0,371,2906,Y
243,01/10/2013,0.0,452,4174,Y
244,29/05/2016,0.0,593,5999,Y
245,29/10/2014,0.0,957,607,Y
246,13/07/2016,0.0,868,1402,Y
247,27/04/2014,0.0,944,5889,Y
248,07/08/2017,0.0,605,755,N
249,21/07/2017,0.0,904,3725,Y
250,25/02/2018,0.0,13,4465,Y
251,21/01/2017,0.0,550,265,Y
252,28/11/2013,0.0,570,5821,Y
253,23/09/2013,0.0,115,4283,N
254,23/02/2014,0.0,864,3460,Y
255,01/04/2018,0.0,345,2593,N
256,15/05/2016,0.0,722,5500,Y
257,04/02/2015,0.0,64,2938,Y
258,19/08/2016,0.0,243,3402,N
259,10/12/2016,0.0,170,5378,N
260,08/11/2017,0.0,696,4087,N
261,22/03/2018,0.0,179,3075,N
262,07/08/2013,0.0,918,2691,N
263,02/12/2017,0.0,650,3055,Y
264,11/05/2018,0.0,764,5175,Y
265,24/09/2013,0.0,848,3354,Y
266,20/04/2014,0.0,976,4300,Y
267,24/06/2016,0.0,453,1279,N
268,01/04/2015,0.0,343,3024,Y
269,05/12/2016,0.0,784,3674,Y
270,19/08/2017,0.0,897,1890,Y
271,28/03/2018,0.0,89,3041,N
272,25/02/2017,0.0,94,4162,N
273,08/10/2015,0.0,842,4894,N
274,18/05/2017,0.0,642,1901,Y
275,24/12/2014,0.0,721,742,Y
276,07/05/2014,0.0,293,531,N
277,08/12/2017,0.0,753,2168,N
278,16/02/2015,0.0,384,5524,Y
279,16/11/2013,0.0,601,3815,N
280,30/04/2018,0.0,116,50,N
281,29/07/2017,0.0,878,1650,N
282,22/02/2018,0.0,480,3138,Y
283,10/06/2016,0.0,193,86,N
284,29/05/2015,0.0,931,1212,Y
285,14/03/2017,0.0,829,3952,Y
286,28/04/2016,0.0,127,1554,Y
287,11/11/2017,0.0,403,4611,Y
288,19/10/2014,0.0,962,1213,Y
289,27/06/2016,0.0,143,5426,Y
290,29/09/2013,0.0,751,2841,Y
291,10/09/2017,0.0,475,828,Y
292,24/06/2015,0.0,221,4343,N
293,14/09/2013,0.0,87,2027,N
294,29/08/2016,0.0,743,4087,Y
295,01/01/2016,0.0,282,3589,Y
296,22/07/2014,0.0,26,1248,N
297,10/09/2016,0.0,356,1815,N
298,02/05/2014,0.0,449,50,N
299,29/01/2018,0.0,881,5914,N
300,05/08/2014,0.0,832,5083,N
301,25/07/2014,0.0,690,1513,Y
302,17/08/2013,0.0,889,5995,Y
303,10/04/2018,0.0,893,1672,N
304,09/04/2015,0.0,919,5958,N
305,07/10/2014,0.0,150,2119,N
306,03/04/2017,0.0,815,3500,N
307,16/07/2016,0.0,395,4310,N
308,22/09/2017,0.0,605,2408,Y
309,23/11/2015,0.0,673,621,N
310,16/03/2017,0.0,815,5203,Y
311,09/04/2014,0.0,496,5306,Y
312,13/10/2015,0.0,332,325,N
313,29/08/2013,0.0,944,5148,Y
314,03/11/2015,0.0,205,1671,N
315,25/10/2013,0.0,521,5890,Y
316,23/04/2017,0.0,676,657,Y
317,13/11/2017,0.0,348,3218,N
318,29/02/2016,0.0,942,3036,Y
319,26/12/2013,0.0,452,4884,Y
320,04/07/2017,0.0,324,608,N
321,02/06/2013,0.0,656,2115,Y
322,08/08/2013,0.0,850,5658,Y
323,04/09/2014,0.0,976,2967,N
324,25/01/2016,0.0,472,441,N
325,07/01/2016,0.0,386,1643,Y
326,21/06/2015,0.0,803,3709,Y
327,05/06/2015,0.0,283,5300,Y
328,15/06/2016,0.0,294,412,Y
329,11/06/2017,0.0,475,917,Y
330,29/07/2016,0.0,830,4869,Y
331,08/09/2013,0.0,225,2247,Y
332,12/04/2016,0.0,621,3972,Y
333,24/06/2016,0.0,541,5987,N
334,09/01/2017,0.0,841,5500,N
335,27/02/2018,0.0,679,3459,N
336,03/04/2015,0.0,75,1490,Y
337,23/10/2014,0.0,683,1200,Y
338,10/07/2017,0.0,425,2012,N
339,18/05/2017,0.0,39,2767,N
340,02/01/2016,0.0,463,1079,N
341,20/03/2018,0.0,919,2198,N
342,02/03/2018,0.0,329,1280,Y
343,09/09/2014,0.0,579,1049,Y
344,01/10/2015,0.0,820,5168,Y
345,10/06/2015,0.0,754,600,N
346,21/10/2014,0.0,673,5843,N
347,03/12/2017,0.0,466,317,Y
348,24/03/2017,0.0,159,2379,N
349,24/05/2016,0.0,457,4775,Y
350,05/02/2018,0.0,734,3648,N
351,28/10/2013,0.0,425,488,Y
352,16/12/2016,0.0,147,3780,N
353,26/03/2014,0.0,385,5420,N
354,31/12/2014,0.0,636,3176,Y
355,14/11/2017,0.0,275,1877,N
356,23/07/2015,0.0,613,4505,N
357,22/04/2014,0.0,710,146,Y
358,15/08/2014,0.0,977,2344,Y
359,13/12/2013,0.0,369,5092,Y
360,16/01/2016,0.0,422,4692,Y
361,02/01/2018,0.0,324,3409,N
362,02/07/2014,0.0,356,2324,N
363,05/05/2016,0.0,214,4530,Y
364,10/08/2014,0.0,16,4485,Y
365,30/10/2017,0.0,358,5252,Y
366,21/03/2016,0.0,69,1554,Y
367,31/01/2018,0.0,745,2797,Y
368,01/05/2014,0.0,835,4306,N
369,30/10/2016,0.0,926,1070,Y
370,30/09/2015,0.0,237,5507,N
371,30/03/2016,0.0,479,1667,Y
372,30/10/2017,0.0,403,3393,N
373,26/08/2015,0.0,423,5637,N
374,27/12/2015,0.0,150,400,N
375,15/10/2013,0.0,45,2857,Y
376,01/10/2014,0.0,778,3355,Y
377,07/07/2013,0.0,650,2567,Y
378,12/11/2017,0.0,599,2297,N
379,05/08/2015,0.0,407,3043,Y
380,11/07/2013,0.0,413,782,Y
381,02/08/2015,0.0,410,2004,Y
382,28/01/2018,0.0,424,398,N
383,20/05/2017,0.0,362,3869,Y
384,02/09/2014,0.0,30,3124,N
385,03/12/2015,0.0,369,2549,N
386,15/11/2014,0.0,65,3233,Y
387,03/02/2016,0.0,259,4478,Y
388,13/02/2018,0.0,470,545,N
389,03/01/2017,0.0,465,1751,N
390,30/01/2015,0.0,955,4018,N
391,29/09/2017,0.0,386,1573,N
392,06/01/2017,0.0,394,1661,N
393,30/01/2017,0.0,488,2084,N
394,05/03/2016,0.0,437,3644,Y
395,02/03/2017,0.0,36,4251,Y
396,13/11/2013,0.0,169,2071,Y
397,28/08/2017,0.0,365,5322,Y
398,12/04/2018,0.0,620,4566,N
399,29/01/2016,0.0,648,6,N
400,11/03/2016,0.0,89,1370,N
401,05/09/2013,0.0,208,5725,N
402,07/03/2017,0.0,497,2624,N
403,08/02/2015,0.0,155,3850,N
404,13/07/2013,0.0,48,4784,N
405,25/05/2013,0.0,502,2725,Y
406,26/11/2013,0.0,803,1900,N
407,01/07/2015,0.0,510,3019,Y
408,10/10/2013,0.0,650,2297,Y
409,28/04/2018,0.0,422,4571,Y
410,30/06/2017,0.0,776,550,N
411,30/01/2017,0.0,153,597,Y
412,03/04/2016,0.0,615,5833,Y
413,25/11/2014,0.0,70,3173,Y
414,04/06/2016,0.0,615,2309,Y
415,07/02/2014,0.0,882,5867,N
416,30/11/2016,0.0,310,386,N
417,05/08/2016,0.0,732,1808,N
418,18/09/2017,0.0,64,3075,N
419,01/03/2018,0.0,314,4489,Y
420,27/07/2013,0.0,357,4750,Y
421,02/02/2015,0.0,964,2138,N
422,09/10/2014,0.0,39,5312,Y
423,25/06/2013,0.0,365,3378,N
424,24/03/2016,0.0,979,1178,N
425,07/11/2014,0.0,849,5306,N
426,30/08/2016,0.0,992,2171,N
427,28/11/2013,0.0,887,5021,N
428,23/02/2018,0.0,26,1571,Y
429,21/10/2017,0.0,417,1426,Y
430,12/05/2016,0.0,319,953,Y
431,06/04/2016,0.0,441,1383,Y
432,19/10/2017,0.0,835,4857,Y
433,31/01/2017,0.0,61,2341,Y
434,15/10/2013,0.0,29,4528,N
435,25/01/2015,0.0,209,3967,N
436,26/10/2013,0.0,976,676,Y
437,03/10/2014,0.0,522,5752,Y
438,14/07/2017,0.0,532,4960,N
439,20/10/2017,0.0,864,4426,N
440,08/05/2016,0.0,56,1799,N
441,20/12/2016,0.0,696,3869,Y
442,28/01/2014,0.0,633,306,N
443,20/12/2013,0.0,284,2123,Y
444,24/08/2013,0.0,233,5981,Y
445,14/10/2015,0.0,493,5797,Y
446,15/09/2013,0.0,103,3945,Y
447,16/08/2017,0.0,601,3853,Y
448,03/11/2016,0.0,520,2805,Y
449,23/06/2017,0.0,589,4904,Y
450,20/07/2017,0.0,901,1086,N
451,25/09/2014,0.0,576,4913,N
452,11/01/2018,0.0,770,3754,Y
453,05/12/2013,0.0,345,5936,Y
454,24/02/2016,0.0,230,2878,N
455,26/09/2013,0.0,960,4621,N
456,10/01/2016,0.0,336,1964,N
457,24/01/2016,0.0,912,5063,N
458,27/11/2013,0.0,207,5896,N
459,13/09/2017,0.0,257,4460,N
460,21/08/2013,0.0,541,3987,N
461,06/05/2014,0.0,287,1173,Y
462,20/08/2013,0.0,484,1043,Y
463,07/01/2015,0.0,804,3679,N
464,28/10/2016,0.0,547,4408,N
465,11/02/2017,0.0,197,1200,N
466,27/06/2013,0.0,358,5949,Y
467,18/11/2017,0.0,529,4548,Y
468,23/02/2014,0.0,378,4788,Y
469,16/05/2014,0.0,695,4741,N
470,23/08/2015,0.0,195,4334,Y
471,02/07/2014,0.0,127,5688,Y
472,27/07/2015,0.0,331,2110,N
473,29/07/2015,0.0,493,3440,N
474,04/03/2015,0.0,364,2140,Y
475,15/11/2013,0.0,2,4064,Y
476,13/01/2016,0.0,955,4593,Y
477,02/09/2017,0.0,227,5019,Y
478,28/12/2015,0.0,988,2738,Y
479,17/06/2017,0.0,672,1678,Y
480,26/02/2016,0.0,21,3542,Y
481,08/09/2015,0.0,733,3051,N
482,23/01/2018,0.0,468,5777,Y
483,04/02/2014,0.0,17,5980,N
484,04/06/2016,0.0,519,5315,Y
485,16/09/2014,0.0,516,2581,Y
486,26/01/2015,0.0,746,1445,Y
487,24/06/2015,0.0,933,284,Y
488,21/12/2017,0.0,557,1535,Y
489,17/05/2014,0.0,828,4811,Y
490,14/10/2014,0.0,454,2768,Y
491,05/06/2014,0.0,781,5814,Y
492,13/08/2013,0.0,395,3831,Y
493,25/01/2017,0.0,827,4212,Y
494,17/03/2016,0.0,17,4374,N
495,01/03/2018,0.0,353,4222,N
496,18/07/2017,0.0,793,1336,Y
497,29/03/2018,0.0,235,1979,N
498,23/01/2017,0.0,305,4851,Y
499,30/09/2013,0.0,136,4529,N
500,26/07/2013,0.0,408,733,Y
501,16/03/2016,0.0,906,3884,N
502,03/04/2014,0.0,907,1071,Y
503,16/02/2015,0.0,327,4884,N
504,20/11/2014,0.0,995,3764,Y
505,17/02/2017,0.0,271,4702,Y
506,27/04/2016,0.0,5,2301,N
507,27/03/2014,0.0,143,5365,N
508,03/05/2014,0.0,351,5831,N
509,06/12/2013,0.0,434,2470,Y
510,21/10/2015,0.0,332,2474,Y
511,25/01/2015,0.0,365,3377,N
512,13/01/2018,0.0,648,5343,N
513,22/01/2016,0.0,3,4905,Y
514,16/11/2016,0.0,816,2142,N
515,30/04/2015,0.0,824,4639,N
516,25/06/2017,0.0,692,5691,N
517,04/08/2017,0.0,982,130,Y
518,18/06/2016,0.0,40,3495,Y
519,09/11/2014,0.0,414,3308,N
520,04/11/2015,0.0,345,3283,N
521,20/01/2015,0.0,265,4502,N
522,30/10/2016,0.0,106,3346,Y
523,26/08/2016,0.0,497,1671,Y
524,21/10/2016,0.0,68,1525,N
525,22/03/2017,0.0,650,2326,N
526,28/04/2015,0.0,432,3577,Y
527,22/11/2017,0.0,220,5704,N
528,25/11/2015,0.0,975,3619,N
529,08/10/2015,0.0,159,94,N
530,01/12/2017,0.0,847,4866,Y
531,01/02/2017,0.0,129,2889,N
532,04/02/2018,0.0,733,3653,Y
533,13/09/2014,0.0,391,5068,Y
534,19/09/2016,0.0,643,2064,N
535,19/02/2014,0.0,824,5393,Y
536,14/06/2014,0.0,218,4493,N
537,25/07/2016,0.0,144,734,N
538,10/06/2017,0.0,727,724,Y
539,13/09/2015,0.0,202,1805,N
540,07/04/2015,0.0,571,4253,Y
541,13/10/2014,0.0,529,3220,N
542,10/08/2013,0.0,853,4928,N
543,23/11/2015,0.0,666,2761,N
544,28/11/2017,0.0,175,2761,N
545,07/01/2018,0.0,912,5378,Y
546,08/06/2013,0.0,824,1775,Y
547,13/09/2014,0.0,657,2956,Y
548,16/02/2017,0.0,620,5261,Y
549,03/02/2014,0.0,779,1047,N
550,01/02/2016,0.0,566,1125,N
551,11/04/2014,0.0,761,1242,Y
552,14/09/2017,0.0,76,3531,N
553,15/07/2016,0.0,348,2027,N
554,09/08/2017,0.0,255,595,N
555,05/05/2018,0.0,897,1552,N
556,22/12/2017,0.0,65,2744,N
557,18/09/2016,0.0,416,5579,N
558,16/10/2017,0.0,17,3672,Y
559,03/03/2018,0.0,950,532,Y
560,10/10/2013,0.0,385,3848,N
561,05/06/2014,0.0,572,2784,N
562,14/04/2014,0.0,334,4343,Y
563,01/10/2015,0.0,74,3634,Y
564,28/11/2015,0.0,112,4857,Y
565,02/02/2016,0.0,13,4600,N
566,30/01/2015,0.0,24,3161,N
567,21/06/2014,0.0,932,89,N
568,13/05/2014,0.0,434,4165,N
569,12/09/2013,0.0,950,632,Y
570,22/11/2014,0.0,843,1602,Y
571,25/11/2014,0.0,183,301,N
572,31/07/2014,0.0,730,5634,N
573,05/03/2014,0.0,798,655,N
574,13/09/2017,0.0,236,89,Y
575,13/05/2015,0.0,726,389,Y
576,17/05/2014,0.0,176,2537,Y
577,27/08/2016,0.0,785,564,N
578,05/03/2017,0.0,829,4272,N
579,12/11/2016,0.0,338,5893,N
580,01/02/2016,0.0,634,731,N
581,18/11/2013,0.0,640,2819,Y
582,18/03/2015,0.0,450,4334,Y
583,23/05/2013,0.0,974,3660,N
584,24/06/2016,0.0,459,1338,N
585,28/10/2017,0.0,327,567,Y
586,05/03/2017,0.0,296,2071,N
587,16/02/2014,0.0,873,5733,Y
588,01/09/2017,0.0,452,1981,Y
589,21/04/2018,0.0,463,3034,N
590,04/01/2018,0.0,91,820,N
591,23/12/2015,0.0,117,5929,N
592,17/10/2014,0.0,129,4526,N
593,26/07/2017,0.0,266,2688,N
594,12/10/2015,0.0,757,2177,N
595,08/02/2017,0.0,981,5316,Y
596,28/12/2017,0.0,539,5294,Y
597,24/02/2015,0.0,577,5626,N
598,23/08/2017,0.0,812,2159,Y
599,17/09/2017,0.0,356,1600,N
600,13/10/2013,0.0,315,1313,Y
601,25/06/2013,0.0,260,922,Y
602,01/10/2015,0.0,803,1521,Y
603,17/01/2014,0.0,212,4906,Y
604,20/03/2016,0.0,311,4691,N
605,30/03/2014,0.0,154,3556,Y
606,18/02/2018,0.0,767,5547,N
607,25/10/2016,0.0,607,5365,Y
608,18/02/2017,0.0,679,5500,Y
609,20/10/2013,0.0,923,5584,N
610,03/09/2015,0.0,99,5322,N
611,05/08/2015,0.0,843,2914,N
612,19/09/2015,0.0,530,3873,Y
613,17/09/2017,0.0,553,5612,Y
614,22/12/2015,0.0,874,1790,N
615,22/09/2013,0.0,454,4074,Y
616,02/07/2013,0.0,915,1073,N
617,22/06/2016,0.0,213,2741,Y
618,23/09/2013,0.0,630,5625,Y
619,12/05/2016,0.0,499,1142,N
620,31/03/2018,0.0,534,579,Y
621,14/12/2016,0.0,634,4449,Y
622,17/01/2014,0.0,632,5517,Y
623,21/05/2016,0.0,632,2456,N
624,27/10/2015,0.0,421,488,Y
625,19/06/2016,0.0,562,4817,N
626,25/08/2017,0.0,557,3141,N
627,22/01/2016,0.0,114,4845,N
628,16/07/2013,0.0,624,3417,N
629,28/02/2017,0.0,683,4979,Y
630,11/01/2015,0.0,82,2748,N
631,26/09/2016,0.0,959,5826,N
632,12/09/2013,0.0,545,3738,Y
633,22/08/2017,0.0,145,5685,N
634,16/01/2016,0.0,294,4044,N
635,26/12/2013,0.0,627,182,Y
636,03/05/2015,0.0,905,3222,N
637,01/11/2017,0.0,36,5021,N
638,11/04/2014,0.0,746,4719,Y
639,10/05/2014,0.0,462,1627,N
640,28/07/2013,0.0,192,4720,Y
641,20/02/2014,0.0,481,1812,N
642,15/10/2014,0.0,552,1383,N
643,06/12/2016,0.0,562,69,N
644,07/05/2016,0.0,576,1277,N
645,25/06/2014,0.0,879,3478,N
646,10/05/2017,0.0,918,2676,Y
647,23/09/2013,0.0,381,64,N
648,23/12/2017,0.0,565,1620,Y
649,29/06/2017,0.0,23,3817,N
650,27/07/2016,0.0,953,1629,Y
651,25/09/2014,0.0,792,229,N
652,25/05/2017,0.0,898,4506,N
653,09/07/2014,0.0,561,1112,Y
654,13/12/2015,0.0,166,5167,Y
655,18/04/2018,0.0,696,3129,Y
656,03/07/2015,0.0,866,5713,N
657,09/05/2014,0.0,509,4304,N
658,26/04/2018,0.0,553,5502,N
659,23/01/2015,0.0,816,3096,N
660,03/12/2013,0.0,304,3821,N
661,26/11/2016,0.0,822,649,Y
662,08/12/2017,0.0,687,3843,Y
663,14/07/2016,0.0,10,758,Y
664,27/09/2016,0.0,25,1576,Y
665,16/05/2016,0.0,699,3559,N
666,21/08/2013,0.0,177,5179,Y
667,07/03/2016,0.0,787,307,N
668,14/07/2016,0.0,12,4309,Y
669,22/04/2018,0.0,133,1309,N
670,18/09/2016,0.0,198,1754,N
671,24/09/2013,0.0,625,694,Y
672,28/03/2014,0.0,762,4947,Y
673,16/02/2014,0.0,814,2098,N
674,18/08/2014,0.0,523,4405,Y
675,17/02/2014,0.0,767,3607,N
676,14/11/2015,0.0,255,2394,N
677,08/04/2017,0.0,217,2583,Y
678,04/05/2014,0.0,91,4244,Y
679,18/10/2015,0.0,935,4725,N
680,13/07/2014,0.0,364,4878,Y
681,24/04/2017,0.0,692,4243,N
682,06/08/2015,0.0,296,4864,N
683,10/10/2014,0.0,892,1097,Y
